"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very rare","2013","16-34 y.","Urban Area","258","0.0675330017173551","0.0595353573059276","0.0755306461287826"
"Very rare","2013","35-65 y.","Rural Area","469","0.0823567567545555","0.075107916932783","0.089605596576328"
"Very rare","2013","35-65 y.","Urban Area","729","0.0831386450115407","0.0775779841782429","0.0886993058448386"
"Very rare","2013","66 and older","Rural Area","356","0.182757103368317","0.164593123568308","0.200921083168326"
"Very rare","2013","66 and older","Urban Area","631","0.191560880722287","0.178050021044573","0.205071740400002"
"Often","2014","16-34 y.","Rural Area","477","0.228785781882041","0.210673008149038","0.246898555615045"
"Often","2014","16-34 y.","Urban Area","1000","0.219644214260645","0.207570823500054","0.231717605021237"
"Often","2014","35-65 y.","Rural Area","1046","0.182666649797595","0.172427969662098","0.192905329933092"
"Often","2014","35-65 y.","Urban Area","2098","0.201765663477692","0.193945199620256","0.209586127335128"
"Often","2014","66 and older","Rural Area","141","0.0747944396411294","0.0625046194019752","0.0870842598802836"
"Often","2014","66 and older","Urban Area","289","0.0958075645057379","0.0856431337077241","0.105971995303752"
"Rarely","2014","16-34 y.","Rural Area","452","0.221722472115768","0.203810020353053","0.239634923878483"
"Rarely","2014","16-34 y.","Urban Area","1087","0.263104193369766","0.250263455710271","0.275944931029261"
"Rarely","2014","35-65 y.","Rural Area","1326","0.258625556486018","0.247022584111557","0.270228528860479"
"Rarely","2014","35-65 y.","Urban Area","2397","0.245383712243145","0.236998199287427","0.253769225198863"
"Rarely","2014","66 and older","Rural Area","607","0.349348722483624","0.32707486275899","0.371622582208258"
"Rarely","2014","66 and older","Urban Area","1080","0.32822463722752","0.312008390137083","0.344440884317957"
"Sometimes","2014","16-34 y.","Rural Area","827","0.402162712582422","0.381019287922969","0.423306137241876"
"Sometimes","2014","16-34 y.","Urban Area","1732","0.381577952341299","0.367411628532824","0.395744276149775"
"Sometimes","2014","35-65 y.","Rural Area","2316","0.415183830853351","0.402126793837375","0.428240867869327"
