"m11124","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Disabled","2009","Rhineland-Palatinate,Saarland","119","0.113794218033489","0.0943439540426603","0.133244482024317"
"Disabled","2009","Baden-Württemberg","231","0.123781788489716","0.109742984386954","0.137820592592477"
"Disabled","2009","Bavaria","302","0.115385875879262","0.10315471043441","0.127617041324115"
"Disabled","2009","Berlin","84","0.144340551301333","0.118042068854843","0.170639033747823"
"Disabled","2009","Brandenburg","97","0.104710035808148","0.0834132603476777","0.126006811268618"
"Disabled","2009","Mecklenburg-Western Pomerania","49","0.114719381055656","0.0860604384938588","0.143378323617453"
"Disabled","2009","Saxony","128","0.0948442505241336","0.0793404491066901","0.110348051941577"
"Disabled","2009","Saxony-Anhalt","73","0.107379871030081","0.0854839984001865","0.129275743659976"
"Disabled","2009","Thuringia","102","0.118333578228732","0.0962794124779726","0.140387743979492"
"Not disabled","2010","Schleswig-Holstein","654","0.864644597692864","0.839878777420783","0.889410417964944"
"Not disabled","2010","Hamburg","354","0.863230688831414","0.829041405772422","0.897419971890406"
"Not disabled","2010","Lower Saxony","1995","0.869285684104376","0.855177483830904","0.883393884377849"
"Not disabled","2010","Bremen","157","0.882157706864547","0.833973182497489","0.930342231231606"
"Not disabled","2010","North Rhine-Westphalia","4472","0.857066256485622","0.847352147101317","0.866780365869927"
"Not disabled","2010","Hesse","1508","0.866264072797365","0.849978564776555","0.882549580818175"
"Not disabled","2010","Rhineland-Palatinate,Saarland","1220","0.894845636699044","0.878415335915723","0.911275937482366"
"Not disabled","2010","Baden-Württemberg","2667","0.891527608194306","0.880215290856491","0.90283992553212"
"Not disabled","2010","Bavaria","3264","0.870288801473986","0.859307376893708","0.881270226054263"
"Not disabled","2010","Berlin","827","0.824457612646171","0.799928193073893","0.848987032218449"
"Not disabled","2010","Brandenburg","849","0.88467045181332","0.86440132872735","0.90493957489929"
"Not disabled","2010","Mecklenburg-Western Pomerania","542","0.855160108435845","0.826737871471284","0.883582345400406"
