"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1996","North Rhine-Westphalia","34807.12","30077.62","2566","174","7999","49555","74291","151653","33682.99","35931.25","0","202201","32067","34348"
"1996","Rhineland-Palatinate,Saarland","28696.92","26190.8","696","144","4628","45174","63513","90395","26938.92","30454.92","0","102656","29706","35018"
"1996","Saxony","22692.55","18510.18","1112","106","1023","35460","51635","96532","21438.57","23946.53","0","139398","23558","28050"
"1996","Saxony-Anhalt","21926.79","19315.22","679","80","409","35249","49514","79262","20355.47","23498.11","0","91862","24798","28496"
"1996","Schleswig-Holstein","30418.08","27676","288","511","9292","44988","64660","94753","27456.54","33379.62","0","130783","27503","32549"
"1996","Thuringia","20072.25","18854","661","67","406","32421","47224","78483","18551.64","21592.86","0","97625","23080","25974"
"1997","Baden-Württemberg","34586.73","31496","1725","832","8308","52685","69583","110413","33305.61","35867.85","0","242616","33113","35769"
"1997","Bavaria","34366.57","31035","1632","409","5908","53294","72754","114832","32956.48","35776.66","0","225193","35140","37985"
"1997","Berlin","29794.97","22797.83","513","113","6647","45505","67513","108358","27260.87","32329.07","0","196399","26485","33744"
"1997","Brandenburg","24231.57","21206","600","199","2274","35857","52778","81305","22241.35","26221.79","0","234939","23258","27055"
"1997","Bremen","23678.69","18309.88","94","57","423","43051","59702","102251","18279.86","29077.52","0","102251","19327","32638"
"1997","Hamburg","25568.9","18365.01","125","0","567","46037","62260","73869","21205.42","29932.38","0","88311","24947","41325"
"1997","Hesse","36611.15","30729","856","54","3068","54047","78228","200379","34308.28","38914.02","0","363043","32338","36046"
"1997","Lower Saxony","30880.88","29060","1045","200","6236","47116","66417","111265","29282.78","32478.98","0","155067","30794","33745"
"1997","Mecklenburg-Western Pomerania","26112.46","20697.03","391","76","1534","37866","55719","105192","22243.66","29981.26","0","379427","23127","28669"
"1997","North Rhine-Westphalia","34743.43","30933.83","2522","206","7749","50659","71404","155126","33635.4","35851.46","0","172197","32419","35528"
"1997","Rhineland-Palatinate,Saarland","27197.18","26117","715","186","5786","42766","56922","83545","25510.75","28883.61","0","103611","28700","33796"
"1997","Saxony","23002.39","19497","1093","124","966","36180","51742","99657","21650.09","24354.69","0","167475","23750","27112"
"1997","Saxony-Anhalt","22393.06","20390","669","102","313","35877","53017","82565","20719.22","24066.9","0","94015","25072","30431"
"1997","Schleswig-Holstein","33934.51","29943.58","272","246","10587","51406","66829","98540","30215.63","37653.39","0","236289","29957","38778"
"1997","Thuringia","21129.42","18317.93","662","99","552","33491","49685","84796","19519.22","22739.62","0","90130","22989","28894"
