"plb0195_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","2011","no migration background","4389","0.504674829747003","0.494196444156719","0.515153215337287"
"Acclaimed","2011","direct migration background","383","0.426957531617428","0.394942851477519","0.458972211757338"
"Acclaimed","2011","indirect migration background","246","0.463911259516678","0.419800641299364","0.508021877733993"
"Partly, partly","2011","no migration background","1666","0.195598510942066","0.187285419463456","0.203911602420676"
"Partly, partly","2011","direct migration background","175","0.187282166861524","0.162030995412868","0.21253333831018"
"Partly, partly","2011","indirect migration background","92","0.207883945934061","0.171990741831467","0.243777150036655"
"Paid","2011","no migration background","970","0.110873218645993","0.104293027218681","0.117453410073305"
"Paid","2011","direct migration background","206","0.200389845094112","0.174481454941933","0.226298235246292"
"Paid","2011","indirect migration background","66","0.114736381921327","0.0865464369248946","0.14292632691776"
"Not paid","2011","no migration background","1721","0.188853440664938","0.180650766310079","0.197056115019796"
"Not paid","2011","direct migration background","153","0.185370456426936","0.160218963950774","0.210521948903097"
"Not paid","2011","indirect migration background","87","0.213468412627934","0.177224736606055","0.249712088649812"
"Acclaimed","2012","no migration background","4645","0.522849800119674","0.512478689483745","0.533220910755604"
"Acclaimed","2012","direct migration background","402","0.422386325285621","0.391026379829475","0.453746270741766"
"Acclaimed","2012","indirect migration background","254","0.485737036679137","0.442861845157801","0.528612228200472"
"Partly, partly","2012","no migration background","1741","0.201749748595339","0.193417057693983","0.210082439496695"
"Partly, partly","2012","direct migration background","206","0.240239966508855","0.213115419620243","0.267364513397468"
"Partly, partly","2012","indirect migration background","115","0.225477100835159","0.189627758588938","0.26132644308138"
"Paid","2012","no migration background","953","0.10664774054474","0.100238649537165","0.113056831552315"
