"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.46","7","1072","4","5","8","9","6.34","6.58","7","7"
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","6.67","7","4463","4","5","8","9","6.61","6.73","7","7"
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.5","7","62","4","5","8","8","5.97","7.03","7","8"
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.26","7","305","3","5","8","9","6.02","6.5","6","7"
"2007","Other degree","Ostdeutschland, neue Bundeslaender","6.69","7","45","4","6","8","9","6.04","7.34","7","8"
"2007","Other degree","Westdeutschland, alte Bundeslaender","6.56","7","791","4","5","8","9","6.41","6.71","7","7"
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","6.54","7","1724","4","5","8","9","6.45","6.63","7","7"
"2007","secondary school degree","Westdeutschland, alte Bundeslaender","6.63","7","3175","4","5","8","9","6.56","6.7","7","7"
"2008","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.6","7","754","4","5","8","9","6.47","6.73","7","7"
"2008","college entrance qualification","Westdeutschland, alte Bundeslaender","6.63","7","2909","4","5","8","9","6.56","6.7","7","7"
"2008","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.6","7","1030","4","5","8","9","6.48","6.72","7","7"
"2008","lower secondary degree","Westdeutschland, alte Bundeslaender","6.68","7","4151","4","5","8","9","6.62","6.74","7","7"
"2008","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.81","7","59","5","5","8","9","6.35","7.27","6","7"
