"hlf0071_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Much too small","1989","Couple + C. LE and GT 16","East Germany","","","",""
"A little too small","1989","1-pers.-HH","West Germany","30","0.169104503521918","0.109513995700715","0.22869501134312"
"A little too small","1989","1-pers.-HH","East Germany","","","",""
"A little too small","1989","(Married) couple without C. ","West Germany","38","0.108412450588502","0.0729344888242705","0.143890412352734"
"A little too small","1989","(Married) couple without C. ","East Germany","","","",""
"A little too small","1989","Single parent ","West Germany","5","","",""
"A little too small","1989","Single parent ","East Germany","","","",""
"A little too small","1989","Couple + C. LE 16 ","West Germany","49","0.143542625517547","0.102692048754815","0.18439320228028"
"A little too small","1989","Couple + C. LE 16 ","East Germany","","","",""
"A little too small","1989","Couple + C. GT 16 ","West Germany","12","","",""
"A little too small","1989","Couple + C. GT 16 ","East Germany","","","",""
"A little too small","1989","Couple + C. LE and GT 16","West Germany","16","","",""
"A little too small","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Just right","1989","1-pers.-HH","West Germany","102","0.697238938920614","0.624197869537849","0.770280008303379"
"Just right","1989","1-pers.-HH","East Germany","","","",""
"Just right","1989","(Married) couple without C. ","West Germany","220","0.75695893656863","0.708013402495001","0.805904470642259"
"Just right","1989","(Married) couple without C. ","East Germany","","","",""
"Just right","1989","Single parent ","West Germany","25","","",""
"Just right","1989","Single parent ","East Germany","","","",""
"Just right","1989","Couple + C. LE 16 ","West Germany","206","0.76383678785729","0.714353188458549","0.813320387256032"
"Just right","1989","Couple + C. LE 16 ","East Germany","","","",""
"Just right","1989","Couple + C. GT 16 ","West Germany","75","0.907321497043801","0.848700355737329","0.965942638350272"
"Just right","1989","Couple + C. GT 16 ","East Germany","","","",""
"Just right","1989","Couple + C. LE and GT 16","West Germany","36","0.871006533887953","0.779901792020151","0.962111275755754"
"Just right","1989","Couple + C. LE and GT 16","East Germany","","","",""
"A little too big","1989","1-pers.-HH","West Germany","12","","",""
"A little too big","1989","1-pers.-HH","East Germany","","","",""
"A little too big","1989","(Married) couple without C. ","West Germany","21","","",""
