"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1998","Schleswig-Holstein","general elemantary","44","0.921825225151099","0.845882690860939","0.997767759441259"
"Yes","1998","Schleswig-Holstein","middle vocational","180","0.984382327065626","0.966563394481298","1.00220125964995"
"Yes","1998","Schleswig-Holstein","vocational + Abi","21","","",""
"Yes","1998","Schleswig-Holstein","higher vocational","23","","",""
"Yes","1998","Schleswig-Holstein","higher education","36","0.904747910899214","0.811410157804185","0.998085663994243"
"Yes","1998","Hamburg","in school","2","","",""
"Yes","1998","Hamburg","inadequately","1","","",""
"Yes","1998","Hamburg","general elemantary","24","","",""
"Yes","1998","Hamburg","middle vocational","76","0.96245224183811","0.92155531778021","1.00334916589601"
"Yes","1998","Hamburg","vocational + Abi","6","","",""
"Yes","1998","Hamburg","higher vocational","2","","",""
"Yes","1998","Hamburg","higher education","12","","",""
"Yes","1998","Lower Saxony","in school","22","","",""
"Yes","1998","Lower Saxony","inadequately","18","","",""
"Yes","1998","Lower Saxony","general elemantary","198","0.922069187701464","0.887425786020895","0.956712589382033"
"Yes","1998","Lower Saxony","middle vocational","543","0.963724764654449","0.948508231270306","0.978941298038592"
"Yes","1998","Lower Saxony","vocational + Abi","59","0.942801029681696","0.885907584466815","0.999694474896576"
"Yes","1998","Lower Saxony","higher vocational","80","0.98241997680366","0.953800354637274","1.01103959897005"
"Yes","1998","Lower Saxony","higher education","127","0.944926451085105","0.905711926922471","0.984140975247739"
"Yes","1998","Bremen","in school","1","","",""
"Yes","1998","Bremen","inadequately","1","","",""
"Yes","1998","Bremen","general elemantary","22","","",""
"Yes","1998","Bremen","middle vocational","47","0.88187748207515","0.794153791596946","0.969601172553353"
"Yes","1998","Bremen","vocational + Abi","2","","",""
"Yes","1998","Bremen","higher vocational","4","","",""
"Yes","1998","Bremen","higher education","7","","",""
"Yes","1998","North Rhine-Westphalia","in school","53","0.840820689767047","0.75386687520787","0.927774504326225"
"Yes","1998","North Rhine-Westphalia","inadequately","32","0.425520898521691","0.337425551578547","0.513616245464835"
"Yes","1998","North Rhine-Westphalia","general elemantary","383","0.863509592303033","0.834526924629022","0.892492259977043"
"Yes","1998","North Rhine-Westphalia","middle vocational","1221","0.931626613303969","0.918222934060178","0.94503029254776"
"Yes","1998","North Rhine-Westphalia","vocational + Abi","109","0.840825030581286","0.779112776414786","0.902537284747786"
"Yes","1998","North Rhine-Westphalia","higher vocational","162","0.972201564371868","0.94726835456924","0.997134774174497"
"Yes","1998","North Rhine-Westphalia","higher education","290","0.912380504985082","0.881255686214746","0.943505323755417"
"Yes","1998","Hesse","in school","9","","",""
"Yes","1998","Hesse","inadequately","9","","",""
"Yes","1998","Hesse","general elemantary","139","0.829091232579742","0.777308686010324","0.88087377914916"
"Yes","1998","Hesse","middle vocational","368","0.887445894312083","0.857915219867707","0.916976568756459"
"Yes","1998","Hesse","vocational + Abi","31","0.819173268459027","0.701365110674507","0.936981426243548"
"Yes","1998","Hesse","higher vocational","32","0.991293975436407","0.960067727048392","1.02252022382442"
"Yes","1998","Hesse","higher education","107","0.93582872805789","0.891613120427804","0.980044335687976"
"Yes","1998","Rhineland-Palatinate,Saarland","in school","9","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","general elemantary","193","0.934761599030607","0.90198061928379","0.967542578777424"
"Yes","1998","Rhineland-Palatinate,Saarland","middle vocational","363","0.949683295180072","0.928043629199585","0.97132296116056"
"Yes","1998","Rhineland-Palatinate,Saarland","vocational + Abi","18","","",""
"Yes","1998","Rhineland-Palatinate,Saarland","higher vocational","42","0.91101773868112","0.826890450727527","0.995145026634712"
"Yes","1998","Rhineland-Palatinate,Saarland","higher education","61","0.969211473054099","0.926889896973543","1.01153304913466"
"Yes","1998","Baden-Württemberg","in school","23","","",""
"Yes","1998","Baden-Württemberg","inadequately","8","","",""
"Yes","1998","Baden-Württemberg","general elemantary","261","0.811323813232709","0.775174713089393","0.847472913376025"
"Yes","1998","Baden-Württemberg","middle vocational","633","0.903950108466546","0.883632944729275","0.924267272203816"
"Yes","1998","Baden-Württemberg","vocational + Abi","52","0.725374504903265","0.623683204465311","0.827065805341219"
"Yes","1998","Baden-Württemberg","higher vocational","90","0.958851123373731","0.919322034309793","0.99838021243767"
"Yes","1998","Baden-Württemberg","higher education","133","0.914091435557725","0.869096046875602","0.959086824239848"
"Yes","1998","Bavaria","in school","31","0.851256682399028","0.733370455476436","0.969142909321619"
"Yes","1998","Bavaria","inadequately","13","","",""
"Yes","1998","Bavaria","general elemantary","293","0.832313924348917","0.795236644218868","0.869391204478967"
"Yes","1998","Bavaria","middle vocational","844","0.941914910704719","0.926833211595778","0.956996609813661"
"Yes","1998","Bavaria","vocational + Abi","49","0.726590174227049","0.61906059593609","0.834119752518008"
"Yes","1998","Bavaria","higher vocational","115","0.982642669455653","0.959078813258554","1.00620652565275"
"Yes","1998","Bavaria","higher education","183","0.909198436710294","0.86917710839358","0.949219765027008"
"Yes","1998","Berlin","in school","18","","",""
"Yes","1998","Berlin","inadequately","2","","",""
"Yes","1998","Berlin","general elemantary","42","0.785391438704515","0.680633079357683","0.890149798051348"
"Yes","1998","Berlin","middle vocational","213","0.955791654115791","0.928872721732217","0.982710586499365"
"Yes","1998","Berlin","vocational + Abi","11","","",""
"Yes","1998","Berlin","higher vocational","34","0.939791158525098","0.860985050140093","1.0185972669101"
"Yes","1998","Berlin","higher education","156","0.914756821731544","0.871756349093109","0.957757294369979"
"Yes","1998","Brandenburg","in school","22","","",""
"Yes","1998","Brandenburg","inadequately","2","","",""
"Yes","1998","Brandenburg","general elemantary","55","0.952948053772067","0.897976998655856","1.00791910888828"
"Yes","1998","Brandenburg","middle vocational","319","0.981977398216063","0.967401591815034","0.996553204617091"
"Yes","1998","Brandenburg","vocational + Abi","11","","",""
"Yes","1998","Brandenburg","higher vocational","41","1","1","1"
"Yes","1998","Brandenburg","higher education","156","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","in school","13","","",""
"Yes","1998","Mecklenburg-Western Pomerania","inadequately","4","","",""
"Yes","1998","Mecklenburg-Western Pomerania","general elemantary","36","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","middle vocational","226","1","1","1"
"Yes","1998","Mecklenburg-Western Pomerania","vocational + Abi","3","","",""
"Yes","1998","Mecklenburg-Western Pomerania","higher vocational","23","","",""
"Yes","1998","Mecklenburg-Western Pomerania","higher education","97","1","1","1"
"Yes","1998","Saxony","in school","28","","",""
"Yes","1998","Saxony","inadequately","5","","",""
"Yes","1998","Saxony","general elemantary","122","1","1","1"
"Yes","1998","Saxony","middle vocational","659","1","1","1"
"Yes","1998","Saxony","vocational + Abi","26","","",""
"Yes","1998","Saxony","higher vocational","67","1","1","1"
"Yes","1998","Saxony","higher education","244","0.997099561793561","0.990365670205864","1.00383345338126"
"Yes","1998","Saxony-Anhalt","in school","18","","",""
"Yes","1998","Saxony-Anhalt","inadequately","3","","",""
"Yes","1998","Saxony-Anhalt","general elemantary","81","1","1","1"
"Yes","1998","Saxony-Anhalt","middle vocational","356","1","1","1"
"Yes","1998","Saxony-Anhalt","vocational + Abi","14","","",""
"Yes","1998","Saxony-Anhalt","higher vocational","54","1","1","1"
"Yes","1998","Saxony-Anhalt","higher education","150","0.987199034148911","0.969268907888989","1.00512916040883"
"Yes","1998","Thuringia","in school","18","","",""
"Yes","1998","Thuringia","inadequately","1","","",""
"Yes","1998","Thuringia","general elemantary","71","0.996081840970168","0.981651706314622","1.01051197562571"
"Yes","1998","Thuringia","middle vocational","445","0.99724129589851","0.992373488918011","1.00210910287901"
"Yes","1998","Thuringia","vocational + Abi","10","","",""
"Yes","1998","Thuringia","higher vocational","38","1","1","1"
"Yes","1998","Thuringia","higher education","131","0.994461161674516","0.981800267376588","1.00712205597244"
"No","1998","Schleswig-Holstein","in school","1","","",""
"No","1998","Schleswig-Holstein","inadequately","3","","",""
"No","1998","Schleswig-Holstein","general elemantary","4","","",""
"No","1998","Schleswig-Holstein","middle vocational","6","","",""
"No","1998","Schleswig-Holstein","vocational + Abi","2","","",""
"No","1998","Schleswig-Holstein","higher vocational","","","",""
"No","1998","Schleswig-Holstein","higher education","2","","",""
"No","1998","Hamburg","in school","1","","",""
"No","1998","Hamburg","inadequately","5","","",""
"No","1998","Hamburg","general elemantary","9","","",""
"No","1998","Hamburg","middle vocational","7","","",""
"No","1998","Hamburg","vocational + Abi","","","",""
"No","1998","Hamburg","higher vocational","","","",""
"No","1998","Hamburg","higher education","","","",""
"No","1998","Lower Saxony","in school","5","","",""
"No","1998","Lower Saxony","inadequately","18","","",""
"No","1998","Lower Saxony","general elemantary","32","0.077930812298536","0.043287410617967","0.112574213979105"
"No","1998","Lower Saxony","middle vocational","37","0.0362752353455511","0.0210587019614085","0.0514917687296936"
"No","1998","Lower Saxony","vocational + Abi","5","","",""
"No","1998","Lower Saxony","higher vocational","1","","",""
"No","1998","Lower Saxony","higher education","3","","",""
"No","1998","Bremen","in school","","","",""
"No","1998","Bremen","inadequately","1","","",""
"No","1998","Bremen","general elemantary","1","","",""
"No","1998","Bremen","middle vocational","5","","",""
"No","1998","Bremen","vocational + Abi","1","","",""
"No","1998","Bremen","higher vocational","","","",""
"No","1998","Bremen","higher education","3","","",""
"No","1998","North Rhine-Westphalia","in school","15","","",""
"No","1998","North Rhine-Westphalia","inadequately","89","0.574479101478309","0.486383754535165","0.662574448421453"
"No","1998","North Rhine-Westphalia","general elemantary","156","0.136490407696967","0.107507740022957","0.165473075370978"
"No","1998","North Rhine-Westphalia","middle vocational","141","0.0683733866960312","0.0549697074522402","0.0817770659398223"
"No","1998","North Rhine-Westphalia","vocational + Abi","26","","",""
"No","1998","North Rhine-Westphalia","higher vocational","5","","",""
"No","1998","North Rhine-Westphalia","higher education","27","","",""
"No","1998","Hesse","in school","13","","",""
"No","1998","Hesse","inadequately","40","0.689903488470367","0.560396661836757","0.819410315103977"
"No","1998","Hesse","general elemantary","64","0.170908767420258","0.11912622085084","0.222691313989676"
"No","1998","Hesse","middle vocational","72","0.112554105687917","0.0830234312435412","0.142084780132293"
"No","1998","Hesse","vocational + Abi","10","","",""
"No","1998","Hesse","higher vocational","2","","",""
"No","1998","Hesse","higher education","11","","",""
"No","1998","Rhineland-Palatinate,Saarland","in school","3","","",""
"No","1998","Rhineland-Palatinate,Saarland","inadequately","19","","",""
"No","1998","Rhineland-Palatinate,Saarland","general elemantary","25","","",""
"No","1998","Rhineland-Palatinate,Saarland","middle vocational","29","","",""
"No","1998","Rhineland-Palatinate,Saarland","vocational + Abi","4","","",""
"No","1998","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","1998","Rhineland-Palatinate,Saarland","higher education","3","","",""
"No","1998","Baden-Württemberg","in school","13","","",""
"No","1998","Baden-Württemberg","inadequately","119","0.791372921622233","0.72070502555744","0.862040817687025"
"No","1998","Baden-Württemberg","general elemantary","189","0.188676186767291","0.152527086623975","0.224825286910607"
"No","1998","Baden-Württemberg","middle vocational","175","0.0960498915334545","0.0757327277961836","0.116367055270725"
"No","1998","Baden-Württemberg","vocational + Abi","22","","",""
"No","1998","Baden-Württemberg","higher vocational","7","","",""
"No","1998","Baden-Württemberg","higher education","16","","",""
"No","1998","Bavaria","in school","4","","",""
"No","1998","Bavaria","inadequately","41","0.721201811802007","0.601603626723978","0.840799996880036"
"No","1998","Bavaria","general elemantary","97","0.167686075651083","0.130608795521033","0.204763355781133"
"No","1998","Bavaria","middle vocational","80","0.0580850892952809","0.0430033901863392","0.0731667884042225"
"No","1998","Bavaria","vocational + Abi","17","","",""
"No","1998","Bavaria","higher vocational","3","","",""
"No","1998","Bavaria","higher education","15","","",""
"No","1998","Berlin","in school","1","","",""
"No","1998","Berlin","inadequately","2","","",""
"No","1998","Berlin","general elemantary","17","","",""
"No","1998","Berlin","middle vocational","11","","",""
"No","1998","Berlin","vocational + Abi","2","","",""
