"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2000","Saxony-Anhalt","direct migration background","38","0.943351809683912","0.870800434091229","1.01590318527659"
"Yes","2000","Saxony-Anhalt","indirect migration background","7","","",""
"Yes","2000","Thuringia","no migration background","1030","1","1","1"
"Yes","2000","Thuringia","direct migration background","19","","",""
"Yes","2000","Thuringia","indirect migration background","4","","",""
"No","2000","Schleswig-Holstein","no migration background","","","",""
"No","2000","Schleswig-Holstein","direct migration background","30","0.490887762118168","0.373776963678201","0.607998560558136"
"No","2000","Schleswig-Holstein","indirect migration background","3","","",""
"No","2000","Hamburg","no migration background","","","",""
"No","2000","Hamburg","direct migration background","19","","",""
"No","2000","Hamburg","indirect migration background","4","","",""
"No","2000","Lower Saxony","no migration background","1","","",""
"No","2000","Lower Saxony","direct migration background","110","0.466442206177302","0.40422804229478","0.528656370059824"
"No","2000","Lower Saxony","indirect migration background","31","0.443937353796588","0.319254745459833","0.568619962133343"
"No","2000","Bremen","no migration background","","","",""
"No","2000","Bremen","direct migration background","12","","",""
"No","2000","Bremen","indirect migration background","2","","",""
"No","2000","North Rhine-Westphalia","no migration background","2","","",""
"No","2000","North Rhine-Westphalia","direct migration background","490","0.526678738283654","0.494095389126412","0.559262087440896"
"No","2000","North Rhine-Westphalia","indirect migration background","137","0.535238127417269","0.47105913917685","0.599417115657688"
"No","2000","Hesse","no migration background","1","","",""
"No","2000","Hesse","direct migration background","227","0.6042615048097","0.553817320592579","0.65470568902682"
"No","2000","Hesse","indirect migration background","50","0.557438390614956","0.451221458258911","0.663655322971002"
"No","2000","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2000","Rhineland-Palatinate,Saarland","direct migration background","100","0.447743889913781","0.384963404615227","0.510524375212335"
"No","2000","Rhineland-Palatinate,Saarland","indirect migration background","22","","",""
"No","2000","Baden-Württemberg","no migration background","5","","",""
"No","2000","Baden-Württemberg","direct migration background","527","0.606654208472076","0.572217930454122","0.64109048649003"
"No","2000","Baden-Württemberg","indirect migration background","158","0.589983441064683","0.526420383104861","0.653546499024505"
"No","2000","Bavaria","no migration background","1","","",""
"No","2000","Bavaria","direct migration background","268","0.56938892761467","0.52438310338389","0.61439475184545"
"No","2000","Bavaria","indirect migration background","51","0.352880940221192","0.264772996455505","0.440988883986878"
"No","2000","Berlin","no migration background","1","","",""
"No","2000","Berlin","direct migration background","51","0.644132044729824","0.539217671208858","0.74904641825079"
"No","2000","Berlin","indirect migration background","6","","",""
"No","2000","Brandenburg","no migration background","1","","",""
"No","2000","Brandenburg","direct migration background","","","",""
"No","2000","Brandenburg","indirect migration background","","","",""
"No","2000","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2000","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"No","2000","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2000","Saxony","no migration background","","","",""
"No","2000","Saxony","direct migration background","13","","",""
"No","2000","Saxony","indirect migration background","","","",""
"No","2000","Saxony-Anhalt","no migration background","","","",""
"No","2000","Saxony-Anhalt","direct migration background","1","","",""
"No","2000","Saxony-Anhalt","indirect migration background","","","",""
"No","2000","Thuringia","no migration background","","","",""
"No","2000","Thuringia","direct migration background","4","","",""
"No","2000","Thuringia","indirect migration background","1","","",""
"Yes","2001","Schleswig-Holstein","no migration background","580","1","1","1"
"Yes","2001","Schleswig-Holstein","direct migration background","40","0.54336938846691","0.421333322431019","0.665405454502801"
"Yes","2001","Schleswig-Holstein","indirect migration background","6","","",""
"Yes","2001","Hamburg","no migration background","239","1","1","1"
"Yes","2001","Hamburg","direct migration background","6","","",""
"Yes","2001","Hamburg","indirect migration background","6","","",""
"Yes","2001","Lower Saxony","no migration background","1577","0.999155824801331","0.99772288647684","1.00058876312582"
"Yes","2001","Lower Saxony","direct migration background","129","0.512846752474675","0.448389957506369","0.577303547442981"
"Yes","2001","Lower Saxony","indirect migration background","26","","",""
"Yes","2001","Bremen","no migration background","125","1","1","1"
"Yes","2001","Bremen","direct migration background","15","","",""
"Yes","2001","Bremen","indirect migration background","4","","",""
"Yes","2001","North Rhine-Westphalia","no migration background","3649","0.999370901248804","0.998557574724042","1.00018422777357"
"Yes","2001","North Rhine-Westphalia","direct migration background","364","0.472394625158278","0.437756552032674","0.507032698283882"
"Yes","2001","North Rhine-Westphalia","indirect migration background","97","0.482886119736975","0.418305883161945","0.547466356312005"
"Yes","2001","Hesse","no migration background","1111","0.995783014515167","0.991974293979794","0.99959173505054"
"Yes","2001","Hesse","direct migration background","112","0.368661569542415","0.314429478971364","0.422893660113466"
"Yes","2001","Hesse","indirect migration background","30","0.456193616129812","0.344943754112713","0.56744347814691"
"Yes","2001","Rhineland-Palatinate,Saarland","no migration background","1101","1","1","1"
"Yes","2001","Rhineland-Palatinate,Saarland","direct migration background","129","0.539427451326333","0.47371199912043","0.605142903532235"
"Yes","2001","Rhineland-Palatinate,Saarland","indirect migration background","17","","",""
"Yes","2001","Baden-Württemberg","no migration background","1757","0.998589943905266","0.996837354418361","1.00034253339217"
"Yes","2001","Baden-Württemberg","direct migration background","207","0.377361423102765","0.340547869706406","0.414174976499125"
"Yes","2001","Baden-Württemberg","indirect migration background","71","0.431995443773555","0.362823421790864","0.501167465756245"
"Yes","2001","Bavaria","no migration background","2524","0.998001529205471","0.996259594362843","0.999743464048098"
"Yes","2001","Bavaria","direct migration background","188","0.453861627495221","0.406416569013406","0.501306685977037"
"Yes","2001","Bavaria","indirect migration background","62","0.629402991584999","0.539958327846862","0.718847655323136"
"Yes","2001","Berlin","no migration background","697","0.998560749066795","0.99574835686482","1.00137314126877"
"Yes","2001","Berlin","direct migration background","28","","",""
"Yes","2001","Berlin","indirect migration background","22","","",""
"Yes","2001","Brandenburg","no migration background","941","0.997974282330442","0.995103027276575","1.00084553738431"
"Yes","2001","Brandenburg","direct migration background","17","","",""
"Yes","2001","Brandenburg","indirect migration background","3","","",""
"Yes","2001","Mecklenburg-Western Pomerania","no migration background","500","1","1","1"
"Yes","2001","Mecklenburg-Western Pomerania","direct migration background","14","","",""
"Yes","2001","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2001","Saxony","no migration background","1613","1","1","1"
"Yes","2001","Saxony","direct migration background","29","","",""
"Yes","2001","Saxony","indirect migration background","8","","",""
"Yes","2001","Saxony-Anhalt","no migration background","966","1","1","1"
"Yes","2001","Saxony-Anhalt","direct migration background","33","1","1","1"
"Yes","2001","Saxony-Anhalt","indirect migration background","6","","",""
"Yes","2001","Thuringia","no migration background","950","1","1","1"
"Yes","2001","Thuringia","direct migration background","17","","",""
"Yes","2001","Thuringia","indirect migration background","3","","",""
"No","2001","Schleswig-Holstein","no migration background","","","",""
"No","2001","Schleswig-Holstein","direct migration background","24","","",""
"No","2001","Schleswig-Holstein","indirect migration background","3","","",""
"No","2001","Hamburg","no migration background","","","",""
"No","2001","Hamburg","direct migration background","20","","",""
"No","2001","Hamburg","indirect migration background","4","","",""
"No","2001","Lower Saxony","no migration background","1","","",""
"No","2001","Lower Saxony","direct migration background","102","0.487153247525325","0.422696452557019","0.551610042493631"
"No","2001","Lower Saxony","indirect migration background","27","","",""
"No","2001","Bremen","no migration background","","","",""
"No","2001","Bremen","direct migration background","12","","",""
"No","2001","Bremen","indirect migration background","2","","",""
"No","2001","North Rhine-Westphalia","no migration background","2","","",""
"No","2001","North Rhine-Westphalia","direct migration background","434","0.527605374841722","0.492967301716118","0.562243447967326"
"No","2001","North Rhine-Westphalia","indirect migration background","133","0.517113880263025","0.452533643687995","0.581694116838055"
