"pgfamstd","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"3","2014","Not Employed","(Married) couple without C. ","122","0.0259904168789734","0.0210261195129682","0.0309547142449785"
"3","2014","Not Employed","Single parent ","609","0.680430919156465","0.649812438547881","0.71104939976505"
"3","2014","Not Employed","Couple + C. LE 16 ","130","0.138542740274748","0.119133365037004","0.157952115512492"
"3","2014","Not Employed","Couple + C. GT 16 ","498","0.499793495687525","0.467846998482098","0.531739992892951"
"3","2014","Not Employed","Couple + C. LE and GT 16","594","0.68686784509403","0.655653761351119","0.718081928836942"
"3","2014","Employed","1-pers.-HH","1093","0.625214541130408","0.603465776250353","0.646963306010463"
"3","2014","Employed","(Married) couple without C. ","816","0.236105072007984","0.22302398982338","0.249186154192588"
"3","2014","Employed","Single parent ","751","0.489594764922086","0.465984141186434","0.513205388657738"
"3","2014","Employed","Couple + C. LE 16 ","549","0.114791610089588","0.106477475863836","0.12310574431534"
"3","2014","Employed","Couple + C. GT 16 ","719","0.376387259661956","0.356421918412068","0.396352600911844"
"3","2014","Employed","Couple + C. LE and GT 16","404","0.241476413880194","0.220875915295772","0.262076912464615"
"4","2014","Not Employed","1-pers.-HH","371","0.216746939038774","0.19734247355918","0.236151404518367"
"4","2014","Not Employed","(Married) couple without C. ","81","0.0184992879027096","0.0142950007977535","0.0227035750076658"
"4","2014","Not Employed","Single parent ","169","0.148500487353313","0.125151643525496","0.17184933118113"
"4","2014","Not Employed","Couple + C. LE 16 ","31","0.0265705347210464","0.0175349722450713","0.0356060971970216"
"4","2014","Not Employed","Couple + C. GT 16 ","15","","",""
"4","2014","Not Employed","Couple + C. LE and GT 16","2","","",""
"4","2014","Employed","1-pers.-HH","513","0.250470297833825","0.231003198865236","0.269937396802414"
"4","2014","Employed","(Married) couple without C. ","227","0.0482780505690499","0.0416756159688721","0.0548804851692277"
"4","2014","Employed","Single parent ","689","0.324025729602836","0.301920941866146","0.346130517339526"
"4","2014","Employed","Couple + C. LE 16 ","167","0.0255790931057361","0.0214613896652661","0.029696796546206"
"4","2014","Employed","Couple + C. GT 16 ","67","0.0258165320355396","0.0192811478985535","0.0323519161725256"
"4","2014","Employed","Couple + C. LE and GT 16","45","0.0215213050154209","0.0145363145727753","0.0285062954580665"
"5","2014","Not Employed","1-pers.-HH","934","0.524809454193111","0.501290994873463","0.54832791351276"
"5","2014","Not Employed","(Married) couple without C. ","92","0.0233895714750951","0.0186739236686603","0.0281052192815299"
"5","2014","Not Employed","Single parent ","69","0.122787397309524","0.101237829370041","0.144336965249006"
"5","2014","Not Employed","Couple + C. LE 16 ","4","","",""
"5","2014","Not Employed","Couple + C. GT 16 ","1","","",""
"5","2014","Not Employed","Couple + C. LE and GT 16","2","","",""
"5","2014","Employed","1-pers.-HH","137","0.0582889226023913","0.0477625060874891","0.0688153391172935"
"5","2014","Employed","(Married) couple without C. ","33","0.00658306443916964","0.00409217738495901","0.00907395149338027"
"5","2014","Employed","Single parent ","104","0.0684808288985555","0.0565516124042309","0.0804100453928801"
"5","2014","Employed","Couple + C. LE 16 ","8","","",""
"5","2014","Employed","Couple + C. GT 16 ","9","","",""
"5","2014","Employed","Couple + C. LE and GT 16","1","","",""
"6","2014","Not Employed","1-pers.-HH","1","","",""
"6","2014","Not Employed","(Married) couple without C. ","","","",""
"6","2014","Not Employed","Single parent ","","","",""
"6","2014","Not Employed","Couple + C. LE 16 ","","","",""
"6","2014","Not Employed","Couple + C. GT 16 ","","","",""
"6","2014","Not Employed","Couple + C. LE and GT 16","","","",""
"6","2014","Employed","1-pers.-HH","6","","",""
"6","2014","Employed","(Married) couple without C. ","","","",""
"6","2014","Employed","Single parent ","1","","",""
"6","2014","Employed","Couple + C. LE 16 ","","","",""
"6","2014","Employed","Couple + C. GT 16 ","","","",""
"6","2014","Employed","Couple + C. LE and GT 16","","","",""
"7","2014","Not Employed","1-pers.-HH","1","","",""
"7","2014","Not Employed","(Married) couple without C. ","5","","",""
"7","2014","Not Employed","Single parent ","","","",""
"7","2014","Not Employed","Couple + C. LE 16 ","5","","",""
"7","2014","Not Employed","Couple + C. GT 16 ","","","",""
"7","2014","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2014","Employed","1-pers.-HH","","","",""
"7","2014","Employed","(Married) couple without C. ","23","","",""
"7","2014","Employed","Single parent ","","","",""
"7","2014","Employed","Couple + C. LE 16 ","14","","",""
"7","2014","Employed","Couple + C. GT 16 ","2","","",""
"7","2014","Employed","Couple + C. LE and GT 16","2","","",""
"8","2014","Not Employed","1-pers.-HH","2","","",""
"8","2014","Not Employed","(Married) couple without C. ","","","",""
"8","2014","Not Employed","Single parent ","2","","",""
"8","2014","Not Employed","Couple + C. LE 16 ","","","",""
"8","2014","Not Employed","Couple + C. GT 16 ","1","","",""
"8","2014","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2014","Employed","1-pers.-HH","6","","",""
"8","2014","Employed","(Married) couple without C. ","","","",""
"8","2014","Employed","Single parent ","1","","",""
"8","2014","Employed","Couple + C. LE 16 ","2","","",""
"8","2014","Employed","Couple + C. GT 16 ","3","","",""
"8","2014","Employed","Couple + C. LE and GT 16","","","",""
"1","2015","Not Employed","1-pers.-HH","3","","",""
"1","2015","Not Employed","(Married) couple without C. ","3672","0.914557823948861","0.906037579224769","0.923078068672953"
"1","2015","Not Employed","Single parent ","4","","",""
"1","2015","Not Employed","Couple + C. LE 16 ","1345","0.836378860327477","0.818375901160815","0.854381819494139"
"1","2015","Not Employed","Couple + C. GT 16 ","423","0.438114909538239","0.406175565344858","0.47005425373162"
"1","2015","Not Employed","Couple + C. LE and GT 16","264","0.32090951994256","0.289655002235928","0.352164037649191"
"1","2015","Employed","1-pers.-HH","","","",""
"1","2015","Employed","(Married) couple without C. ","2749","0.68904171799617","0.67434367796718","0.70373975802516"
"1","2015","Employed","Single parent ","8","","",""
"1","2015","Employed","Couple + C. LE 16 ","4427","0.818199155416491","0.807678943453007","0.828719367379976"
"1","2015","Employed","Couple + C. GT 16 ","1371","0.584542388216931","0.563784149325917","0.605300627107946"
"1","2015","Employed","Couple + C. LE and GT 16","1139","0.72393458097133","0.702205393542321","0.745663768400338"
"2","2015","Not Employed","1-pers.-HH","97","0.0409460615390426","0.0320262329538086","0.0498658901242766"
"2","2015","Not Employed","(Married) couple without C. ","35","0.00768937899081112","0.00502693924879712","0.0103518187328251"
"2","2015","Not Employed","Single parent ","52","0.0494956229444486","0.0353564393533781","0.0636348065355192"
"2","2015","Not Employed","Couple + C. LE 16 ","26","","",""
"2","2015","Not Employed","Couple + C. GT 16 ","7","","",""
"2","2015","Not Employed","Couple + C. LE and GT 16","1","","",""
"2","2015","Employed","1-pers.-HH","135","0.0571430840509757","0.0464379046076931","0.0678482634942582"
"2","2015","Employed","(Married) couple without C. ","34","0.00716683484317152","0.00448836081569842","0.00984530887064462"
"2","2015","Employed","Single parent ","163","0.113533343717699","0.0980849439162389","0.128981743519159"
"2","2015","Employed","Couple + C. LE 16 ","43","0.0096310520641099","0.00696706322320996","0.0122950409050098"
"2","2015","Employed","Couple + C. GT 16 ","15","","",""
"2","2015","Employed","Couple + C. LE and GT 16","16","","",""
"3","2015","Not Employed","1-pers.-HH","508","0.241911196812451","0.222635195345743","0.261187198279159"
"3","2015","Not Employed","(Married) couple without C. ","252","0.0386046703656448","0.0327327350563957","0.0444766056748939"
"3","2015","Not Employed","Single parent ","624","0.679243050319241","0.648815673355104","0.709670427283379"
"3","2015","Not Employed","Couple + C. LE 16 ","210","0.11855908070318","0.102826981306511","0.134291180099849"
"3","2015","Not Employed","Couple + C. GT 16 ","483","0.533742026771592","0.501628569754925","0.565855483788258"
"3","2015","Not Employed","Couple + C. LE and GT 16","587","0.677688933933043","0.646398579293613","0.708979288572473"
"3","2015","Employed","1-pers.-HH","1018","0.608806526184014","0.58629916044662","0.631313891921408"
"3","2015","Employed","(Married) couple without C. ","735","0.233879537612054","0.220438578885046","0.247320496339062"
"3","2015","Employed","Single parent ","716","0.477667865563066","0.453344315061459","0.501991416064673"
"3","2015","Employed","Couple + C. LE 16 ","543","0.146652375215676","0.1370028805327","0.156301869898652"
"3","2015","Employed","Couple + C. GT 16 ","693","0.369889775467127","0.349553867516622","0.390225683417632"
"3","2015","Employed","Couple + C. LE and GT 16","421","0.249231584883076","0.228206277354739","0.270256892411414"
"4","2015","Not Employed","1-pers.-HH","364","0.210217384842198","0.191876637679839","0.228558132004556"
"4","2015","Not Employed","(Married) couple without C. ","79","0.0166783312829483","0.0127750087666187","0.0205816537992779"
"4","2015","Not Employed","Single parent ","155","0.144600847712438","0.121674561859522","0.167527133565354"
"4","2015","Not Employed","Couple + C. LE 16 ","33","0.0310112446551164","0.0225751463214647","0.0394473429887681"
"4","2015","Not Employed","Couple + C. GT 16 ","12","","",""
"4","2015","Not Employed","Couple + C. LE and GT 16","4","","",""
"4","2015","Employed","1-pers.-HH","508","0.26723928032295","0.246830340033923","0.287648220611977"
"4","2015","Employed","(Married) couple without C. ","233","0.0572260867761885","0.0498506727274336","0.0646015008249435"
"4","2015","Employed","Single parent ","636","0.334069313910842","0.311101302769957","0.357037325051727"
"4","2015","Employed","Couple + C. LE 16 ","133","0.0222268544432902","0.0182056599065748","0.0262480489800055"
"4","2015","Employed","Couple + C. GT 16 ","76","0.032376328983811","0.0249206674359568","0.0398319905316652"
"4","2015","Employed","Couple + C. LE and GT 16","48","0.0150604703975901","0.00914060444682686","0.0209803363483533"
"5","2015","Not Employed","1-pers.-HH","904","0.501203731265909","0.478697764651746","0.523709697880073"
"5","2015","Not Employed","(Married) couple without C. ","95","0.0220334603485697","0.0175592779368361","0.0265076427603033"
"5","2015","Not Employed","Single parent ","69","0.123918516963206","0.102440003025768","0.145397030900644"
"5","2015","Not Employed","Couple + C. LE 16 ","4","","",""
"5","2015","Not Employed","Couple + C. GT 16 ","2","","",""
"5","2015","Not Employed","Couple + C. LE and GT 16","1","","",""
"5","2015","Employed","1-pers.-HH","135","0.0617935717822273","0.050688788954406","0.0728983546100486"
"5","2015","Employed","(Married) couple without C. ","29","","",""
"5","2015","Employed","Single parent ","93","0.0688748394253132","0.056543083667836","0.0812065951827903"
"5","2015","Employed","Couple + C. LE 16 ","4","","",""
"5","2015","Employed","Couple + C. GT 16 ","7","","",""
"5","2015","Employed","Couple + C. LE and GT 16","1","","",""
"6","2015","Not Employed","1-pers.-HH","19","","",""
"6","2015","Not Employed","(Married) couple without C. ","","","",""
"6","2015","Not Employed","Single parent ","","","",""
"6","2015","Not Employed","Couple + C. LE 16 ","","","",""
"6","2015","Not Employed","Couple + C. GT 16 ","","","",""
"6","2015","Not Employed","Couple + C. LE and GT 16","","","",""
"6","2015","Employed","1-pers.-HH","5","","",""
"6","2015","Employed","(Married) couple without C. ","","","",""
"6","2015","Employed","Single parent ","","","",""
"6","2015","Employed","Couple + C. LE 16 ","","","",""
"6","2015","Employed","Couple + C. GT 16 ","","","",""
"6","2015","Employed","Couple + C. LE and GT 16","","","",""
"7","2015","Not Employed","1-pers.-HH","","","",""
"7","2015","Not Employed","(Married) couple without C. ","2","","",""
"7","2015","Not Employed","Single parent ","","","",""
"7","2015","Not Employed","Couple + C. LE 16 ","4","","",""
"7","2015","Not Employed","Couple + C. GT 16 ","","","",""
"7","2015","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2015","Employed","1-pers.-HH","","","",""
"7","2015","Employed","(Married) couple without C. ","30","0.00667277344560622","0.00408762811653819","0.00925791877467426"
"7","2015","Employed","Single parent ","","","",""
"7","2015","Employed","Couple + C. LE 16 ","12","","",""
"7","2015","Employed","Couple + C. GT 16 ","1","","",""
"7","2015","Employed","Couple + C. LE and GT 16","1","","",""
"8","2015","Not Employed","1-pers.-HH","1","","",""
"8","2015","Not Employed","(Married) couple without C. ","","","",""
"8","2015","Not Employed","Single parent ","","","",""
"8","2015","Not Employed","Couple + C. LE 16 ","","","",""
"8","2015","Not Employed","Couple + C. GT 16 ","","","",""
"8","2015","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2015","Employed","1-pers.-HH","5","","",""
"8","2015","Employed","(Married) couple without C. ","","","",""
"8","2015","Employed","Single parent ","4","","",""
"8","2015","Employed","Couple + C. LE 16 ","1","","",""
"8","2015","Employed","Couple + C. GT 16 ","2","","",""
"8","2015","Employed","Couple + C. LE and GT 16","","","",""
"1","2016","Not Employed","1-pers.-HH","1","","",""
"1","2016","Not Employed","(Married) couple without C. ","3344","0.904512237546876","0.894993704919735","0.914030770174016"
"1","2016","Not Employed","Single parent ","2","","",""
"1","2016","Not Employed","Couple + C. LE 16 ","2636","0.851603931996788","0.838518092618182","0.864689771375394"
"1","2016","Not Employed","Couple + C. GT 16 ","421","0.429925211540026","0.3977950398641","0.462055383215953"
"1","2016","Not Employed","Couple + C. LE and GT 16","541","0.319168123648369","0.292284562661786","0.346051684634952"
"1","2016","Employed","1-pers.-HH","","","",""
"1","2016","Employed","(Married) couple without C. ","2781","0.695424778689647","0.680915503874457","0.709934053504837"
"1","2016","Employed","Single parent ","6","","",""
"1","2016","Employed","Couple + C. LE 16 ","4185","0.819335256006248","0.808545098359921","0.830125413652575"
"1","2016","Employed","Couple + C. GT 16 ","1296","0.58362518469427","0.562280666768771","0.604969702619769"
"1","2016","Employed","Couple + C. LE and GT 16","1117","0.702996870824097","0.680351109533104","0.725642632115091"
"2","2016","Not Employed","1-pers.-HH","114","0.0379848084154508","0.0306637094593765","0.0453059073715251"
"2","2016","Not Employed","(Married) couple without C. ","29","","",""
"2","2016","Not Employed","Single parent ","76","0.0354697893522166","0.0245393159801776","0.0464002627242556"
"2","2016","Not Employed","Couple + C. LE 16 ","19","","",""
"2","2016","Not Employed","Couple + C. GT 16 ","7","","",""
"2","2016","Not Employed","Couple + C. LE and GT 16","5","","",""
"2","2016","Employed","1-pers.-HH","148","0.0599079968978497","0.0490051484451062","0.0708108453505933"
"2","2016","Employed","(Married) couple without C. ","35","0.0069502523801142","0.00433110985378346","0.00956939490644494"
"2","2016","Employed","Single parent ","151","0.103685500857315","0.0883347013174058","0.119036300397223"
"2","2016","Employed","Couple + C. LE 16 ","47","0.0112620746006197","0.0083026310553807","0.0142215181458587"
"2","2016","Employed","Couple + C. GT 16 ","12","","",""
"2","2016","Employed","Couple + C. LE and GT 16","17","","",""
"3","2016","Not Employed","1-pers.-HH","1074","0.256014595325886","0.239300036725271","0.272729153926502"
"3","2016","Not Employed","(Married) couple without C. ","100","0.0335087408155893","0.0276801047325759","0.0393373768986027"
"3","2016","Not Employed","Single parent ","614","0.676791320322902","0.649152427221333","0.704430213424471"
"3","2016","Not Employed","Couple + C. LE 16 ","137","0.0978152603646203","0.0868801642302806","0.10875035649896"
"3","2016","Not Employed","Couple + C. GT 16 ","462","0.5294036667631","0.497009380637098","0.561797952889102"
"3","2016","Not Employed","Couple + C. LE and GT 16","602","0.672513193038775","0.645448418873807","0.699577967203744"
"3","2016","Employed","1-pers.-HH","1027","0.61064849858632","0.588246902070157","0.633050095102484"
"3","2016","Employed","(Married) couple without C. ","760","0.228822438253325","0.21557902781739","0.242065848689261"
"3","2016","Employed","Single parent ","700","0.498548119737564","0.473370773752421","0.523725465722707"
"3","2016","Employed","Couple + C. LE 16 ","522","0.150143150899788","0.140125038139599","0.160161263659977"
"3","2016","Employed","Couple + C. GT 16 ","670","0.380175487562324","0.359156899369934","0.401194075754714"
"3","2016","Employed","Couple + C. LE and GT 16","380","0.257450342705118","0.235781325979953","0.279119359430284"
"4","2016","Not Employed","1-pers.-HH","369","0.209547694488378","0.193960799103999","0.225134589872757"
"4","2016","Not Employed","(Married) couple without C. ","93","0.0295385719731002","0.024054883076475","0.0350222608697254"
"4","2016","Not Employed","Single parent ","187","0.153171694868755","0.131888408413401","0.17445498132411"
"4","2016","Not Employed","Couple + C. LE 16 ","33","0.0299779432283962","0.0237007820437789","0.0362551044130134"
"4","2016","Not Employed","Couple + C. GT 16 ","20","","",""
"4","2016","Not Employed","Couple + C. LE and GT 16","4","","",""
"4","2016","Employed","1-pers.-HH","496","0.25918667601843","0.239055315543607","0.279318036493253"
"4","2016","Employed","(Married) couple without C. ","233","0.0539655050682832","0.0468421441208653","0.0610888660157011"
"4","2016","Employed","Single parent ","569","0.329943280505967","0.306266796903648","0.353619764108286"
"4","2016","Employed","Couple + C. LE 16 ","108","0.0145279031659063","0.0111721972188165","0.017883609112996"
"4","2016","Employed","Couple + C. GT 16 ","60","0.0239155451286119","0.0173000713522923","0.0305310189049316"
"4","2016","Employed","Couple + C. LE and GT 16","47","0.0238169175439378","0.0162601140039701","0.0313737210839055"
"5","2016","Not Employed","1-pers.-HH","879","0.48797068532735","0.468827040813036","0.507114329841664"
"5","2016","Not Employed","(Married) couple without C. ","94","0.0239770701618227","0.0190223744429138","0.0289317658807317"
"5","2016","Not Employed","Single parent ","122","0.126170367343792","0.106548342726146","0.145792391961438"
"5","2016","Not Employed","Couple + C. LE 16 ","4","","",""
"5","2016","Not Employed","Couple + C. GT 16 ","1","","",""
"5","2016","Not Employed","Couple + C. LE and GT 16","1","","",""
"5","2016","Employed","1-pers.-HH","130","0.0629571215294787","0.0517983968863443","0.0741158461726131"
"5","2016","Employed","(Married) couple without C. ","28","","",""
"5","2016","Employed","Single parent ","87","0.0616804881283037","0.0495663910601191","0.0737945851964882"
"5","2016","Employed","Couple + C. LE 16 ","7","","",""
"5","2016","Employed","Couple + C. GT 16 ","8","","",""
"5","2016","Employed","Couple + C. LE and GT 16","1","","",""
"6","2016","Not Employed","1-pers.-HH","180","0.00637195305478917","0.00332455948777429","0.00941934662180405"
"6","2016","Not Employed","(Married) couple without C. ","","","",""
"6","2016","Not Employed","Single parent ","99","0.00634020370875818","0.00164967051585665","0.0110307369016597"
"6","2016","Not Employed","Couple + C. LE 16 ","2","","",""
"6","2016","Not Employed","Couple + C. GT 16 ","1","","",""
"6","2016","Not Employed","Couple + C. LE and GT 16","2","","",""
"6","2016","Employed","1-pers.-HH","14","","",""
"6","2016","Employed","(Married) couple without C. ","","","",""
"6","2016","Employed","Single parent ","1","","",""
"6","2016","Employed","Couple + C. LE 16 ","","","",""
"6","2016","Employed","Couple + C. GT 16 ","","","",""
"6","2016","Employed","Couple + C. LE and GT 16","","","",""
"7","2016","Not Employed","1-pers.-HH","","","",""
"7","2016","Not Employed","(Married) couple without C. ","2","","",""
"7","2016","Not Employed","Single parent ","","","",""
"7","2016","Not Employed","Couple + C. LE 16 ","3","","",""
"7","2016","Not Employed","Couple + C. GT 16 ","","","",""
"7","2016","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2016","Employed","1-pers.-HH","","","",""
"7","2016","Employed","(Married) couple without C. ","28","","",""
"7","2016","Employed","Single parent ","","","",""
"7","2016","Employed","Couple + C. LE 16 ","14","","",""
"7","2016","Employed","Couple + C. GT 16 ","2","","",""
"7","2016","Employed","Couple + C. LE and GT 16","1","","",""
"8","2016","Not Employed","1-pers.-HH","2","","",""
"8","2016","Not Employed","(Married) couple without C. ","","","",""
"8","2016","Not Employed","Single parent ","","","",""
"8","2016","Not Employed","Couple + C. LE 16 ","1","","",""
"8","2016","Not Employed","Couple + C. GT 16 ","","","",""
"8","2016","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2016","Employed","1-pers.-HH","5","","",""
"8","2016","Employed","(Married) couple without C. ","","","",""
"8","2016","Employed","Single parent ","1","","",""
"8","2016","Employed","Couple + C. LE 16 ","1","","",""
"8","2016","Employed","Couple + C. GT 16 ","1","","",""
"8","2016","Employed","Couple + C. LE and GT 16","1","","",""
"1","2017","Not Employed","1-pers.-HH","1","","",""
"1","2017","Not Employed","(Married) couple without C. ","3574","0.911881567330547","0.903001008803483","0.920762125857611"
"1","2017","Not Employed","Single parent ","3","","",""
"1","2017","Not Employed","Couple + C. LE 16 ","2830","0.804403561756705","0.790328689861945","0.818478433651466"
"1","2017","Not Employed","Couple + C. GT 16 ","445","0.414715370496824","0.384642326906585","0.444788414087063"
"1","2017","Not Employed","Couple + C. LE and GT 16","684","0.283945524738049","0.26091852991269","0.306972519563407"
"1","2017","Employed","1-pers.-HH","1","","",""
"1","2017","Employed","(Married) couple without C. ","3222","0.691165937864078","0.677719315578804","0.704612560149352"
"1","2017","Employed","Single parent ","5","","",""
"1","2017","Employed","Couple + C. LE 16 ","4401","0.829645086571718","0.819405307826175","0.83988486531726"
"1","2017","Employed","Couple + C. GT 16 ","1572","0.597314256102862","0.577945556990207","0.616682955215517"
"1","2017","Employed","Couple + C. LE and GT 16","1228","0.723098538367591","0.701846424558634","0.744350652176548"
"2","2017","Not Employed","1-pers.-HH","101","0.036199564470586","0.0292120592005215","0.0431870697406504"
"2","2017","Not Employed","(Married) couple without C. ","32","0.00794359859907266","0.00516251203105441","0.0107246851670909"
"2","2017","Not Employed","Single parent ","101","0.043255735505011","0.0315940689428729","0.0549174020671491"
"2","2017","Not Employed","Couple + C. LE 16 ","27","","",""
"2","2017","Not Employed","Couple + C. GT 16 ","10","","",""
"2","2017","Not Employed","Couple + C. LE and GT 16","8","","",""
"2","2017","Employed","1-pers.-HH","181","0.0632057723613263","0.053224276991851","0.0731872677308017"
"2","2017","Employed","(Married) couple without C. ","38","0.00747967244708549","0.00497200212504955","0.00998734276912144"
"2","2017","Employed","Single parent ","176","0.102370444687136","0.0874657868946138","0.117275102479658"
"2","2017","Employed","Couple + C. LE 16 ","50","0.0102338556695038","0.00749257812187495","0.0129751332171326"
"2","2017","Employed","Couple + C. GT 16 ","11","","",""
"2","2017","Employed","Couple + C. LE and GT 16","23","","",""
"3","2017","Not Employed","1-pers.-HH","1174","0.256546758563904","0.240209205462429","0.27288431166538"
"3","2017","Not Employed","(Married) couple without C. ","121","0.0303283979419279","0.0249559186054687","0.0357008772783871"
"3","2017","Not Employed","Single parent ","655","0.644170242214363","0.616725301486677","0.67161518294205"
"3","2017","Not Employed","Couple + C. LE 16 ","157","0.130883399352149","0.118915765517774","0.142851033186523"
"3","2017","Not Employed","Couple + C. GT 16 ","548","0.541820435896112","0.511407082637956","0.572233789154268"
"3","2017","Not Employed","Couple + C. LE and GT 16","769","0.700600067481158","0.677211282891012","0.723988852071305"
"3","2017","Employed","1-pers.-HH","1348","0.628081214382391","0.608255579905983","0.647906848858798"
"3","2017","Employed","(Married) couple without C. ","918","0.232269971626674","0.219979735056054","0.244560208197293"
"3","2017","Employed","Single parent ","749","0.490991888841202","0.466411675230804","0.5155721024516"
"3","2017","Employed","Couple + C. LE 16 ","558","0.134018355453515","0.124739304628328","0.143297406278702"
"3","2017","Employed","Couple + C. GT 16 ","780","0.359896871510072","0.340941604966387","0.378852138053757"
"3","2017","Employed","Couple + C. LE and GT 16","406","0.242506828731879","0.222150844102918","0.26286281336084"
"4","2017","Not Employed","1-pers.-HH","420","0.220734745137692","0.205219632862013","0.236249857413372"
"4","2017","Not Employed","(Married) couple without C. ","97","0.0261573741539448","0.0211572689440691","0.0311574793638204"
"4","2017","Not Employed","Single parent ","194","0.178415394149156","0.156467990863763","0.20036279743455"
"4","2017","Not Employed","Couple + C. LE 16 ","32","0.0337087427166955","0.0273047284692433","0.0401127569641478"
"4","2017","Not Employed","Couple + C. GT 16 ","22","","",""
"4","2017","Not Employed","Couple + C. LE and GT 16","9","","",""
"4","2017","Employed","1-pers.-HH","579","0.245833297137772","0.228170919535501","0.263495674740043"
"4","2017","Employed","(Married) couple without C. ","270","0.0512608089017821","0.0448424264263688","0.0576791913771955"
"4","2017","Employed","Single parent ","564","0.336682122045114","0.313446354575058","0.359917889515171"
"4","2017","Employed","Couple + C. LE 16 ","151","0.0222872812273648","0.0182665851430828","0.0263079773116469"
"4","2017","Employed","Couple + C. GT 16 ","87","0.0291388199955511","0.0224963372728607","0.0357813027182415"
"4","2017","Employed","Couple + C. LE and GT 16","43","0.0206978125354135","0.0139360275942257","0.0274595974766014"
"5","2017","Not Employed","1-pers.-HH","875","0.478878498207964","0.460190659299049","0.497566337116879"
"5","2017","Not Employed","(Married) couple without C. ","89","0.0235258587843007","0.0187775298478813","0.0282741877207201"
"5","2017","Not Employed","Single parent ","122","0.125720065603006","0.106715043001141","0.144725088204871"
"5","2017","Not Employed","Couple + C. LE 16 ","2","","",""
"5","2017","Not Employed","Couple + C. GT 16 ","6","","",""
"5","2017","Not Employed","Couple + C. LE and GT 16","1","","",""
"5","2017","Employed","1-pers.-HH","149","0.0557144644767484","0.0463057392804585","0.0651231896730382"
"5","2017","Employed","(Married) couple without C. ","40","0.00696991603862855","0.004548583593829","0.00939124848342811"
"5","2017","Employed","Single parent ","93","0.0642728450487421","0.0522148661055657","0.0763308239919186"
"5","2017","Employed","Couple + C. LE 16 ","5","","",""
"5","2017","Employed","Couple + C. GT 16 ","9","","",""
"5","2017","Employed","Couple + C. LE and GT 16","2","","",""
"6","2017","Not Employed","1-pers.-HH","170","0.00564628544840573","0.0028432487617118","0.00844932213509965"
"6","2017","Not Employed","(Married) couple without C. ","","","",""
"6","2017","Not Employed","Single parent ","93","0.00679959078930192","0.00208872568039279","0.011510455898211"
"6","2017","Not Employed","Couple + C. LE 16 ","1","","",""
"6","2017","Not Employed","Couple + C. GT 16 ","","","",""
"6","2017","Not Employed","Couple + C. LE and GT 16","2","","",""
"6","2017","Employed","1-pers.-HH","21","","",""
"6","2017","Employed","(Married) couple without C. ","1","","",""
"6","2017","Employed","Single parent ","","","",""
"6","2017","Employed","Couple + C. LE 16 ","","","",""
"6","2017","Employed","Couple + C. GT 16 ","","","",""
"6","2017","Employed","Couple + C. LE and GT 16","","","",""
"7","2017","Not Employed","1-pers.-HH","","","",""
"7","2017","Not Employed","(Married) couple without C. ","1","","",""
"7","2017","Not Employed","Single parent ","","","",""
"7","2017","Not Employed","Couple + C. LE 16 ","2","","",""
"7","2017","Not Employed","Couple + C. GT 16 ","","","",""
"7","2017","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2017","Employed","1-pers.-HH","","","",""
"7","2017","Employed","(Married) couple without C. ","46","0.0107047895582381","0.00770968860327706","0.0136998905131991"
"7","2017","Employed","Single parent ","","","",""
"7","2017","Employed","Couple + C. LE 16 ","13","","",""
"7","2017","Employed","Couple + C. GT 16 ","2","","",""
"7","2017","Employed","Couple + C. LE and GT 16","1","","",""
"8","2017","Not Employed","1-pers.-HH","4","","",""
"8","2017","Not Employed","(Married) couple without C. ","","","",""
"8","2017","Not Employed","Single parent ","1","","",""
"8","2017","Not Employed","Couple + C. LE 16 ","","","",""
"8","2017","Not Employed","Couple + C. GT 16 ","","","",""
"8","2017","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2017","Employed","1-pers.-HH","4","","",""
"8","2017","Employed","(Married) couple without C. ","","","",""
"8","2017","Employed","Single parent ","2","","",""
"8","2017","Employed","Couple + C. LE 16 ","","","",""
"8","2017","Employed","Couple + C. GT 16 ","2","","",""
"8","2017","Employed","Couple + C. LE and GT 16","","","",""
"1","2018","Not Employed","1-pers.-HH","","","",""
"1","2018","Not Employed","(Married) couple without C. ","3429","0.923011635450717","0.914483090481623","0.931540180419811"
"1","2018","Not Employed","Single parent ","5","","",""
"1","2018","Not Employed","Couple + C. LE 16 ","2154","0.822997465586757","0.807526592304921","0.838468338868593"
"1","2018","Not Employed","Couple + C. GT 16 ","411","0.409884867739115","0.37805295457142","0.441716780906809"
"1","2018","Not Employed","Couple + C. LE and GT 16","641","0.275311584482626","0.251821484214081","0.298801684751171"
"1","2018","Employed","1-pers.-HH","","","",""
"1","2018","Employed","(Married) couple without C. ","3115","0.696170212608776","0.682590244877967","0.709750180339585"
"1","2018","Employed","Single parent ","5","","",""
"1","2018","Employed","Couple + C. LE 16 ","4173","0.820367700181419","0.809656330461226","0.831079069901612"
