"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"6","1989","35-65 y.","no migration background","","","",""
"6","1989","35-65 y.","direct migration background","41","0.0272458846340733","0.0191750100799242","0.0353167591882223"
"6","1989","35-65 y.","indirect migration background","","","",""
"6","1989","66 and older","no migration background","","","",""
"6","1989","66 and older","direct migration background","","","",""
"6","1989","66 and older","indirect migration background","","","",""
"7","1989","16-34 y.","no migration background","","","",""
"7","1989","16-34 y.","direct migration background","","","",""
"7","1989","16-34 y.","indirect migration background","","","",""
"7","1989","35-65 y.","no migration background","","","",""
"7","1989","35-65 y.","direct migration background","","","",""
"7","1989","35-65 y.","indirect migration background","","","",""
"7","1989","66 and older","no migration background","","","",""
"7","1989","66 and older","direct migration background","","","",""
"7","1989","66 and older","indirect migration background","","","",""
"8","1989","16-34 y.","no migration background","","","",""
"8","1989","16-34 y.","direct migration background","","","",""
"8","1989","16-34 y.","indirect migration background","","","",""
"8","1989","35-65 y.","no migration background","","","",""
"8","1989","35-65 y.","direct migration background","","","",""
"8","1989","35-65 y.","indirect migration background","","","",""
"8","1989","66 and older","no migration background","","","",""
"8","1989","66 and older","direct migration background","","","",""
"8","1989","66 and older","indirect migration background","","","",""
"1","1990","16-34 y.","no migration background","1850","0.373902321789774","0.359195935268827","0.388608708310721"
"1","1990","16-34 y.","direct migration background","504","0.521913158274113","0.489722508490385","0.554103808057841"
"1","1990","16-34 y.","indirect migration background","36","0.16774209962047","0.123092049406433","0.212392149834506"
"1","1990","35-65 y.","no migration background","4445","0.769305992679181","0.758070846776031","0.780541138582332"
"1","1990","35-65 y.","direct migration background","1424","0.792424130965338","0.772854916292866","0.81199334563781"
"1","1990","35-65 y.","indirect migration background","18","","",""
"1","1990","66 and older","no migration background","684","0.431136916579195","0.404932015988826","0.457341817169565"
"1","1990","66 and older","direct migration background","65","0.559447623444855","0.464489541809377","0.654405705080334"
"1","1990","66 and older","indirect migration background","2","","",""
"2","1990","16-34 y.","no migration background","48","0.0128810748042292","0.0094536602321615","0.0163084893762968"
"2","1990","16-34 y.","direct migration background","17","","",""
"2","1990","16-34 y.","indirect migration background","","","",""
"2","1990","35-65 y.","no migration background","83","0.0209045785860531","0.0170891421675896","0.0247200150045167"
"2","1990","35-65 y.","direct migration background","34","0.0245843399236197","0.0171124535835822","0.0320562262636572"
"2","1990","35-65 y.","indirect migration background","1","","",""
