"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1988","Not Working","in school","9","","",""
"Min 1x per month","1988","Not Working","inadequately","3","","",""
"Min 1x per month","1988","Not Working","general elemantary","35","0.0230809971010364","0.0145672508831028","0.0315947433189701"
"Min 1x per month","1988","Not Working","middle vocational","59","0.0362415534712441","0.0267361103944104","0.0457469965480778"
"Min 1x per month","1988","Not Working","vocational + Abi","3","","",""
"Min 1x per month","1988","Not Working","higher vocational","6","","",""
"Min 1x per month","1988","Not Working","higher education","7","","",""
"Rarely","1988","Full Time","in school","","","",""
"Rarely","1988","Full Time","inadequately","20","","",""
"Rarely","1988","Full Time","general elemantary","120","0.140677832852474","0.118545114139813","0.162810551565134"
"Rarely","1988","Full Time","middle vocational","410","0.180469355467752","0.165038244163037","0.195900466772467"
"Rarely","1988","Full Time","vocational + Abi","31","0.237074746630651","0.167369781364551","0.306779711896751"
"Rarely","1988","Full Time","higher vocational","64","0.208041732038519","0.161484940391566","0.254598523685473"
"Rarely","1988","Full Time","higher education","88","0.197762742038876","0.159849684132176","0.235675799945576"
"Rarely","1988","Part Time","in school","1","","",""
"Rarely","1988","Part Time","inadequately","3","","",""
"Rarely","1988","Part Time","general elemantary","63","0.10544557075819","0.0800985981685477","0.130792543347831"
"Rarely","1988","Part Time","middle vocational","134","0.162907786846052","0.137739543227079","0.188076030465025"
"Rarely","1988","Part Time","vocational + Abi","10","","",""
"Rarely","1988","Part Time","higher vocational","21","","",""
"Rarely","1988","Part Time","higher education","29","","",""
"Rarely","1988","Not Working","in school","13","","",""
"Rarely","1988","Not Working","inadequately","10","","",""
"Rarely","1988","Not Working","general elemantary","85","0.053395925066212","0.040649089581647","0.0661427605507769"
"Rarely","1988","Not Working","middle vocational","170","0.0974354161507785","0.0823526002404247","0.112518232061132"
"Rarely","1988","Not Working","vocational + Abi","7","","",""
"Rarely","1988","Not Working","higher vocational","18","","",""
"Rarely","1988","Not Working","higher education","13","","",""
"Never","1988","Full Time","in school","","","",""
"Never","1988","Full Time","inadequately","247","0.734978589445771","0.685036663288548","0.784920515602994"
"Never","1988","Full Time","general elemantary","579","0.57931453229741","0.547889199267902","0.610739865326918"
"Never","1988","Full Time","middle vocational","1176","0.460639421438647","0.440639282028692","0.480639560848602"
"Never","1988","Full Time","vocational + Abi","53","0.283011141395475","0.209180261831083","0.356842020959867"
