"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"2013","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2013","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"2013","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2013","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2013","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2013","Other degree","Single parent","","","","","","","","","","","","","",""
"2013","secondary school degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2013","secondary school degree","1-pers.-HH","","","","","","","","","","","","","",""
"2013","secondary school degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2013","secondary school degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2013","secondary school degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2013","secondary school degree","Single parent","","","","","","","","","","","","","",""
"2014","college entrance qualification","(Married) couple without C.","173.91","174","2099","162","168","180","186","194","173.52","174.3","139","208","173","174"
"2014","college entrance qualification","1-pers.-HH","173.21","173","1036","162","167","180","185","194","172.64","173.78","148","200","172","173"
"2014","college entrance qualification","Couple + C. GT 16 ","174.95","176","796","163","168","183","187","195","174.27","175.63","130","202","173","175"
"2014","college entrance qualification","Couple + C. LE 16","175.02","174","2244","164","168","182","187","196","174.63","175.41","117","207","173","174"
"2014","college entrance qualification","Couple + C. LE and GT 16","175.02","175","547","164","168","180","186","198","174.24","175.8","143","207","173","175"
"2014","college entrance qualification","Single parent","171.45","170","571","160","165","177","185","194","170.76","172.14","150","200","170","172"
"2014","lower secondary degree","(Married) couple without C.","169.67","170","2684","158","163","176","180","190","169.33","170.01","117","200","169","170"
"2014","lower secondary degree","1-pers.-HH","168.44","168","1240","156","161","176","182","193","167.91","168.97","116","198","166","168"
"2014","lower secondary degree","Couple + C. GT 16 ","172.53","174","672","160","165","180","183","196","171.79","173.27","107","200","170","173"
"2014","lower secondary degree","Couple + C. LE 16","174.19","175","1138","160","168","180","187","197","173.62","174.76","145","205","173","175"
"2014","lower secondary degree","Couple + C. LE and GT 16","173.44","173","402","162","167","180","186","194","172.45","174.43","116","203","172","175"
"2014","lower secondary degree","Single parent","168.4","168","546","158","163","175","180","190","167.67","169.13","120","200","167","168"
"2014","no degree/no degree yet","(Married) couple without C.","166.9","166","108","157","161","172","178","186","165.27","168.53","135","186","165","170"
