"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2017","66 and older","in school","","","",""
"Daily","2017","66 and older","inadequately","4","","",""
"Daily","2017","66 and older","general elemantary","","","",""
"Daily","2017","66 and older","middle vocational","2","","",""
"Daily","2017","66 and older","vocational + Abi","","","",""
"Daily","2017","66 and older","higher vocational","","","",""
"Daily","2017","66 and older","higher education","4","","",""
"Min 1x per week","2017","16-34 y.","in school","1","","",""
"Min 1x per week","2017","16-34 y.","inadequately","237","0.180567821913263","0.159387309123097","0.20174833470343"
"Min 1x per week","2017","16-34 y.","general elemantary","112","0.169247739370852","0.140939337851324","0.19755614089038"
"Min 1x per week","2017","16-34 y.","middle vocational","81","0.138154214045758","0.108665755688826","0.167642672402689"
"Min 1x per week","2017","16-34 y.","vocational + Abi","9","","",""
"Min 1x per week","2017","16-34 y.","higher vocational","","","",""
"Min 1x per week","2017","16-34 y.","higher education","61","0.11719412007038","0.0898101963700622","0.144578043770697"
"Min 1x per week","2017","35-65 y.","in school","2","","",""
"Min 1x per week","2017","35-65 y.","inadequately","153","0.159972709389419","0.135343358906701","0.184602059872137"
"Min 1x per week","2017","35-65 y.","general elemantary","59","0.123308540752955","0.0914050667471656","0.155212014758745"
"Min 1x per week","2017","35-65 y.","middle vocational","56","0.126017566326465","0.0921104327118951","0.159924699941034"
