"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2011","Not Employed","higher education","3.96","4","1570","2","3","5","5","5","3.9","4.02","2","5","4","4"
"2011","Not Employed","higher vocational","4.14","5","513","2","4","5","5","5","4.05","4.23","2","5","4","5"
"2011","Not Employed","in school","3.44","3","379","2","2","5","5","5","3.31","3.57","2","5","3","4"
"2011","Not Employed","inadequately","4.75","5","243","4","5","5","5","5","4.66","4.84","2","5","5","5"
"2011","Not Employed","middle vocational","4.41","5","5093","3","4","5","5","5","4.38","4.44","2","5","5","5"
"2011","Not Employed","vocational + Abi","4.22","5","468","2","4","5","5","5","4.12","4.32","2","5","4","5"
"2012","Employed","general elemantary","","","","","","","","","","","","","",""
"2012","Employed","higher education","","","","","","","","","","","","","",""
"2012","Employed","higher vocational","","","","","","","","","","","","","",""
"2012","Employed","in school","","","","","","","","","","","","","",""
"2012","Employed","inadequately","","","","","","","","","","","","","",""
"2012","Employed","middle vocational","","","","","","","","","","","","","",""
"2012","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2012","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2012","Not Employed","higher education","","","","","","","","","","","","","",""
"2012","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2012","Not Employed","in school","","","","","","","","","","","","","",""
"2012","Not Employed","inadequately","","","","","","","","","","","","","",""
"2012","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2012","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2013","Employed","general elemantary","4.25","5","1242","2","4","5","5","5","4.18","4.32","1","5","5","5"
"2013","Employed","higher education","3.6","4","4362","2","3","5","5","5","3.56","3.64","1","5","4","4"
"2013","Employed","higher vocational","3.91","4","1203","2","3","5","5","5","3.84","3.98","1","5","4","4"
"2013","Employed","in school","3.13","3","98","1","2","5","5","5","2.86","3.4","1","5","3","4"
"2013","Employed","inadequately","4.26","5","147","2","4","5","5","5","4.07","4.45","1","5","5","5"
"2013","Employed","middle vocational","4.11","4","7991","2","4","5","5","5","4.09","4.13","1","5","4","5"
"2013","Employed","vocational + Abi","3.79","4","1425","2","3","5","5","5","3.73","3.85","1","5","4","4"
"2013","Not Employed","general elemantary","4.49","5","1356","3","4","5","5","5","4.43","4.55","1","5","5","5"
"2013","Not Employed","higher education","3.62","4","1464","2","2","5","5","5","3.55","3.69","1","5","4","4"
"2013","Not Employed","higher vocational","3.92","4","474","2","3","5","5","5","3.81","4.03","1","5","4","4"
"2013","Not Employed","in school","2.93","2","346","1","2","4","5","5","2.78","3.08","1","5","2","3"
"2013","Not Employed","inadequately","4.63","5","181","4","5","5","5","5","4.49","4.77","1","5","5","5"
"2013","Not Employed","middle vocational","4.26","5","4413","2","4","5","5","5","4.23","4.29","1","5","5","5"
"2013","Not Employed","vocational + Abi","3.98","4","351","2","3","5","5","5","3.84","4.12","1","5","4","4"
"2014","Employed","general elemantary","","","","","","","","","","","","","",""
"2014","Employed","higher education","","","","","","","","","","","","","",""
"2014","Employed","higher vocational","","","","","","","","","","","","","",""
"2014","Employed","in school","","","","","","","","","","","","","",""
"2014","Employed","inadequately","","","","","","","","","","","","","",""
"2014","Employed","middle vocational","","","","","","","","","","","","","",""
"2014","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2014","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2014","Not Employed","higher education","","","","","","","","","","","","","",""
"2014","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2014","Not Employed","in school","","","","","","","","","","","","","",""
"2014","Not Employed","inadequately","","","","","","","","","","","","","",""
"2014","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2014","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2015","Employed","general elemantary","4.54","5","1363","3","4","5","5","5","4.49","4.59","2","5","5","5"
