"ple0181","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Once a month or less","2018","(Married) couple without C. ","direct migration background","57","0.0616164584629797","0.0466831175688261","0.0765497993571333"
"Once a month or less","2018","(Married) couple without C. ","indirect migration background","19","","",""
"Once a month or less","2018","Single parent ","no migration background","128","0.0719803776721167","0.0596104488742562","0.0843503064699773"
"Once a month or less","2018","Single parent ","direct migration background","17","","",""
"Once a month or less","2018","Single parent ","indirect migration background","8","","",""
"Once a month or less","2018","Couple + C. LE 16 ","no migration background","321","0.0808508623666064","0.0719073082886228","0.0897944164445899"
"Once a month or less","2018","Couple + C. LE 16 ","direct migration background","76","0.0636372147073555","0.0509719649515346","0.0763024644631765"
"Once a month or less","2018","Couple + C. LE 16 ","indirect migration background","24","","",""
"Once a month or less","2018","Couple + C. GT 16 ","no migration background","206","0.0927358551234277","0.0808712616124318","0.104600448634424"
"Once a month or less","2018","Couple + C. GT 16 ","direct migration background","30","0.0439058395040157","0.0253828688936391","0.0624288101143923"
"Once a month or less","2018","Couple + C. GT 16 ","indirect migration background","17","","",""
"Once a month or less","2018","Couple + C. LE and GT 16","no migration background","126","0.0637674152921603","0.0509547001431496","0.0765801304411709"
"Once a month or less","2018","Couple + C. LE and GT 16","direct migration background","32","0.0545036150394771","0.0347045358552187","0.0743026942237356"
"Once a month or less","2018","Couple + C. LE and GT 16","indirect migration background","13","","",""
"Never","2018","1-pers.-HH","no migration background","237","0.0725760480263011","0.0638464956882081","0.0813056003643942"
"Never","2018","1-pers.-HH","direct migration background","31","0.0544773627311076","0.0342160035782423","0.0747387218839728"
"Never","2018","1-pers.-HH","indirect migration background","22","","",""
"Never","2018","(Married) couple without C. ","no migration background","324","0.0531985828945092","0.0478077523912305","0.0585894133977878"
"Never","2018","(Married) couple without C. ","direct migration background","41","0.0338269712715098","0.0225996168128254","0.0450543257301942"
"Never","2018","(Married) couple without C. ","indirect migration background","13","","",""
"Never","2018","Single parent ","no migration background","113","0.0648965793366088","0.0531063491115836","0.076686809561634"
"Never","2018","Single parent ","direct migration background","14","","",""
