"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"10 Very willing to take risks","2005","16-34 y.","Other degree","","","",""
"10 Very willing to take risks","2005","16-34 y.","no degree/no degree yet","","","",""
"10 Very willing to take risks","2005","35-65 y.","lower secondary degree","","","",""
"10 Very willing to take risks","2005","35-65 y.","secondary school degree","","","",""
"10 Very willing to take risks","2005","35-65 y.","college entrance qualification","","","",""
"10 Very willing to take risks","2005","35-65 y.","Other degree","","","",""
"10 Very willing to take risks","2005","35-65 y.","no degree/no degree yet","","","",""
"10 Very willing to take risks","2005","66 and older","lower secondary degree","","","",""
"10 Very willing to take risks","2005","66 and older","secondary school degree","","","",""
"10 Very willing to take risks","2005","66 and older","college entrance qualification","","","",""
"10 Very willing to take risks","2005","66 and older","Other degree","","","",""
"10 Very willing to take risks","2005","66 and older","no degree/no degree yet","","","",""
"0 Not at all Willing to take risks","2006","16-34 y.","lower secondary degree","31","0.0460359070184189","0.0323901272320343","0.0596816868048035"
"0 Not at all Willing to take risks","2006","16-34 y.","secondary school degree","31","0.0206295597727489","0.0136604359693965","0.0275986835761013"
"0 Not at all Willing to take risks","2006","16-34 y.","college entrance qualification","15","","",""
"0 Not at all Willing to take risks","2006","16-34 y.","Other degree","11","","",""
"0 Not at all Willing to take risks","2006","16-34 y.","no degree/no degree yet","8","","",""
"0 Not at all Willing to take risks","2006","35-65 y.","lower secondary degree","204","0.0627231459639635","0.0550909756520195","0.0703553162759075"
"0 Not at all Willing to take risks","2006","35-65 y.","secondary school degree","118","0.0286835445830427","0.0236331287985426","0.0337339603675428"
"0 Not at all Willing to take risks","2006","35-65 y.","college entrance qualification","67","0.0208755325172508","0.0160028431440202","0.0257482218904815"
"0 Not at all Willing to take risks","2006","35-65 y.","Other degree","73","0.0860989030527404","0.0666365631170934","0.105561242988387"
"0 Not at all Willing to take risks","2006","35-65 y.","no degree/no degree yet","16","","",""
"0 Not at all Willing to take risks","2006","66 and older","lower secondary degree","332","0.130516902018554","0.118041473072473","0.142992330964634"
"0 Not at all Willing to take risks","2006","66 and older","secondary school degree","59","0.102640922595334","0.0795744772840396","0.125707367906628"
"0 Not at all Willing to take risks","2006","66 and older","college entrance qualification","29","","",""
"0 Not at all Willing to take risks","2006","66 and older","Other degree","49","0.267792153148831","0.208602611891648","0.326981694406014"
"0 Not at all Willing to take risks","2006","66 and older","no degree/no degree yet","19","","",""
"1","2006","16-34 y.","lower secondary degree","21","","",""
"1","2006","16-34 y.","secondary school degree","25","","",""
"1","2006","16-34 y.","college entrance qualification","24","","",""
"1","2006","16-34 y.","Other degree","3","","",""
"1","2006","16-34 y.","no degree/no degree yet","2","","",""
"1","2006","35-65 y.","lower secondary degree","171","0.0447718959792881","0.0382622633588671","0.051281528599709"
"1","2006","35-65 y.","secondary school degree","145","0.0402049460656296","0.0342612123151091","0.0461486798161502"
"1","2006","35-65 y.","college entrance qualification","72","0.0242593884841049","0.0190156852034201","0.0295030917647897"
"1","2006","35-65 y.","Other degree","40","0.0493428615222893","0.0343159140586183","0.0643698089859603"
"1","2006","35-65 y.","no degree/no degree yet","12","","",""
"1","2006","66 and older","lower secondary degree","244","0.0909484534949885","0.0803000757049972","0.10159683128498"
"1","2006","66 and older","secondary school degree","37","0.0475533782214275","0.0313782296397417","0.0637285268031134"
"1","2006","66 and older","college entrance qualification","19","","",""
"1","2006","66 and older","Other degree","21","","",""
"1","2006","66 and older","no degree/no degree yet","6","","",""
"2","2006","16-34 y.","lower secondary degree","63","0.0591815150048674","0.0438166074236863","0.0745464225860484"
"2","2006","16-34 y.","secondary school degree","99","0.0549648696504719","0.0437904164429432","0.0661393228580005"
"2","2006","16-34 y.","college entrance qualification","113","0.0619272765004363","0.0502085436808378","0.0736460093200348"
"2","2006","16-34 y.","Other degree","16","","",""
"2","2006","16-34 y.","no degree/no degree yet","20","","",""
"2","2006","35-65 y.","lower secondary degree","338","0.0857974142082754","0.0769816794946443","0.0946131489219064"
"2","2006","35-65 y.","secondary school degree","363","0.0914728522225286","0.0827502630841895","0.100195441360868"
"2","2006","35-65 y.","college entrance qualification","264","0.0823646327334619","0.0729947005304457","0.0917345649364781"
"2","2006","35-65 y.","Other degree","84","0.106764487784382","0.0853383917958264","0.128190583772937"
"2","2006","35-65 y.","no degree/no degree yet","14","","",""
