"ple0081_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Berlin","Other degree","11","","",""
"Yes","2004","Berlin","no degree/no degree yet","14","","",""
"Yes","2004","Brandenburg","lower secondary degree","66","0.242428311582333","0.191310795137272","0.293545828027394"
"Yes","2004","Brandenburg","secondary school degree","123","0.333079833518483","0.286363278792527","0.379796388244438"
"Yes","2004","Brandenburg","college entrance qualification","45","0.244624064055432","0.185490884243286","0.303757243867578"
"Yes","2004","Brandenburg","Other degree","4","","",""
"Yes","2004","Brandenburg","no degree/no degree yet","8","","",""
"Yes","2004","Mecklenburg-Western Pomerania","lower secondary degree","38","0.307059613885296","0.228369456845944","0.385749770924647"
"Yes","2004","Mecklenburg-Western Pomerania","secondary school degree","77","0.283478908287388","0.227612216875745","0.339345599699032"
"Yes","2004","Mecklenburg-Western Pomerania","college entrance qualification","22","","",""
"Yes","2004","Mecklenburg-Western Pomerania","Other degree","1","","",""
"Yes","2004","Mecklenburg-Western Pomerania","no degree/no degree yet","6","","",""
"Yes","2004","Saxony","lower secondary degree","87","0.210677338317597","0.17153774932211","0.249816927313085"
"Yes","2004","Saxony","secondary school degree","208","0.296868592459371","0.263565902225102","0.33017128269364"
"Yes","2004","Saxony","college entrance qualification","87","0.275318248091438","0.228455630951756","0.322180865231119"
"Yes","2004","Saxony","Other degree","1","","",""
"Yes","2004","Saxony","no degree/no degree yet","12","","",""
"Yes","2004","Saxony-Anhalt","lower secondary degree","77","0.206189339534439","0.160255629319371","0.252123049749507"
"Yes","2004","Saxony-Anhalt","secondary school degree","134","0.343470762597002","0.295662780968008","0.391278744225996"
