"ple0098_v5","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2010","Hesse","Other degree","15","","",""
"Yes","2010","Hesse","no degree/no degree yet","2","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","lower secondary degree","81","0.154469093376309","0.122239111010107","0.186699075742511"
"Yes","2010","Rhineland-Palatinate,Saarland","secondary school degree","69","0.212911099480611","0.164876183573126","0.260946015388097"
"Yes","2010","Rhineland-Palatinate,Saarland","college entrance qualification","50","0.161601469252596","0.109400410184075","0.213802528321117"
"Yes","2010","Rhineland-Palatinate,Saarland","Other degree","7","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","no degree/no degree yet","1","","",""
"Yes","2010","Baden-Württemberg","lower secondary degree","141","0.16271540560013","0.136894935234754","0.188535875965507"
"Yes","2010","Baden-Württemberg","secondary school degree","232","0.388306835765867","0.352583714182846","0.424029957348888"
"Yes","2010","Baden-Württemberg","college entrance qualification","220","0.390798852045353","0.350847840845355","0.430749863245351"
"Yes","2010","Baden-Württemberg","Other degree","24","","",""
"Yes","2010","Baden-Württemberg","no degree/no degree yet","6","","",""
"Yes","2010","Bavaria","lower secondary degree","244","0.198462358547628","0.176316623222347","0.22060809387291"
"Yes","2010","Bavaria","secondary school degree","268","0.374143547760234","0.341262706168103","0.407024389352366"
"Yes","2010","Bavaria","college entrance qualification","215","0.373718441251641","0.334175292817991","0.41326158968529"
"Yes","2010","Bavaria","Other degree","24","","",""
"Yes","2010","Bavaria","no degree/no degree yet","19","","",""
"Yes","2010","Berlin","lower secondary degree","19","","",""
"Yes","2010","Berlin","secondary school degree","51","0.173234747780712","0.127669496894812","0.218799998666612"
"Yes","2010","Berlin","college entrance qualification","56","0.188566392123449","0.141994692565169","0.235138091681729"
"Yes","2010","Berlin","Other degree","4","","",""
"Yes","2010","Berlin","no degree/no degree yet","3","","",""
"Yes","2010","Brandenburg","lower secondary degree","23","","",""
"Yes","2010","Brandenburg","secondary school degree","48","0.156429157055376","0.120874578308976","0.191983735801776"
"Yes","2010","Brandenburg","college entrance qualification","44","0.212721328566821","0.15724027376002","0.268202383373623"
"Yes","2010","Brandenburg","Other degree","","","",""
"Yes","2010","Brandenburg","no degree/no degree yet","2","","",""
"Yes","2010","Mecklenburg-Western Pomerania","lower secondary degree","9","","",""
"Yes","2010","Mecklenburg-Western Pomerania","secondary school degree","26","","",""
"Yes","2010","Mecklenburg-Western Pomerania","college entrance qualification","18","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","no degree/no degree yet","2","","",""
"Yes","2010","Saxony","lower secondary degree","20","","",""
"Yes","2010","Saxony","secondary school degree","125","0.155870775579581","0.130431227598927","0.181310323560235"
"Yes","2010","Saxony","college entrance qualification","78","0.170600468001044","0.132375368622776","0.208825567379313"
"Yes","2010","Saxony","Other degree","1","","",""
"Yes","2010","Saxony","no degree/no degree yet","3","","",""
"Yes","2010","Saxony-Anhalt","lower secondary degree","11","","",""
"Yes","2010","Saxony-Anhalt","secondary school degree","63","0.177691983026599","0.139656984177808","0.21572698187539"
"Yes","2010","Saxony-Anhalt","college entrance qualification","34","0.180033489502032","0.126381023859617","0.233685955144448"
"Yes","2010","Saxony-Anhalt","Other degree","","","",""
"Yes","2010","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","2010","Thuringia","lower secondary degree","16","","",""
"Yes","2010","Thuringia","secondary school degree","44","0.0870076911829292","0.0598910169089013","0.114124365456957"
"Yes","2010","Thuringia","college entrance qualification","37","0.233205398605774","0.168876980734233","0.297533816477315"
"Yes","2010","Thuringia","Other degree","","","",""
"Yes","2010","Thuringia","no degree/no degree yet","","","",""
"No","2010","Schleswig-Holstein","lower secondary degree","174","0.857425641886102","0.810360528783498","0.904490754988707"
"No","2010","Schleswig-Holstein","secondary school degree","160","0.752143602131565","0.692894270307622","0.811392933955507"
"No","2010","Schleswig-Holstein","college entrance qualification","90","0.549706836523424","0.468162591143265","0.631251081903582"
"No","2010","Schleswig-Holstein","Other degree","42","0.962395345834183","0.906184604978061","1.01860608669031"
"No","2010","Schleswig-Holstein","no degree/no degree yet","24","","",""
"No","2010","Hamburg","lower secondary degree","49","0.786192805444798","0.68574654007706","0.886639070812536"
"No","2010","Hamburg","secondary school degree","77","0.770370398740763","0.688747552584164","0.851993244897361"
"No","2010","Hamburg","college entrance qualification","76","0.502010074033818","0.411021765569619","0.592998382498018"
"No","2010","Hamburg","Other degree","25","","",""
"No","2010","Hamburg","no degree/no degree yet","5","","",""
"No","2010","Lower Saxony","lower secondary degree","530","0.869148529690694","0.84251712719933","0.895779932182059"
"No","2010","Lower Saxony","secondary school degree","487","0.782726499187692","0.750751829886199","0.814701168489185"
"No","2010","Lower Saxony","college entrance qualification","279","0.702406792918007","0.658205696891772","0.746607888944241"
"No","2010","Lower Saxony","Other degree","96","0.94785377746406","0.905530698193862","0.990176856734258"
"No","2010","Lower Saxony","no degree/no degree yet","79","0.953449455598979","0.908396875474329","0.998502035723628"
"No","2010","Bremen","lower secondary degree","36","0.989566649149527","0.957260088636051","1.021873209663"
"No","2010","Bremen","secondary school degree","36","0.795195245426081","0.682200836247307","0.908189654604854"
"No","2010","Bremen","college entrance qualification","29","","",""
"No","2010","Bremen","Other degree","11","","",""
"No","2010","Bremen","no degree/no degree yet","7","","",""
"No","2010","North Rhine-Westphalia","lower secondary degree","1225","0.866836353062415","0.849090039041744","0.884582667083086"
"No","2010","North Rhine-Westphalia","secondary school degree","749","0.735394794546337","0.708230224479718","0.762559364612956"
"No","2010","North Rhine-Westphalia","college entrance qualification","693","0.620085057137936","0.591191416257527","0.648978698018345"
"No","2010","North Rhine-Westphalia","Other degree","407","0.933217160977659","0.909837681770064","0.956596640185255"
"No","2010","North Rhine-Westphalia","no degree/no degree yet","182","0.904140994164539","0.863340292312637","0.94494169601644"
"No","2010","Hesse","lower secondary degree","309","0.860260733795505","0.825354518315177","0.895166949275833"
"No","2010","Hesse","secondary school degree","265","0.76776472730695","0.724739279594003","0.810790175019897"
"No","2010","Hesse","college entrance qualification","277","0.67022838365482","0.623747983289793","0.716708784019848"
"No","2010","Hesse","Other degree","137","0.936056945882659","0.89716370619914","0.974950185566177"
"No","2010","Hesse","no degree/no degree yet","56","0.989349058223245","0.962930879623231","1.01576723682326"
"No","2010","Rhineland-Palatinate,Saarland","lower secondary degree","402","0.845530906623691","0.813300924257489","0.877760888989893"
"No","2010","Rhineland-Palatinate,Saarland","secondary school degree","210","0.787088900519389","0.739053984611903","0.835123816426874"
"No","2010","Rhineland-Palatinate,Saarland","college entrance qualification","141","0.838398530747404","0.786197471678883","0.890599589815925"
"No","2010","Rhineland-Palatinate,Saarland","Other degree","94","0.920824746440978","0.868165986632145","0.973483506249811"
"No","2010","Rhineland-Palatinate,Saarland","no degree/no degree yet","27","","",""
"No","2010","Baden-Württemberg","lower secondary degree","644","0.83728459439987","0.811464124034493","0.863105064765246"
"No","2010","Baden-Württemberg","secondary school degree","483","0.611693164234133","0.575970042651112","0.647416285817154"
"No","2010","Baden-Württemberg","college entrance qualification","353","0.609201147954647","0.569250136754649","0.649152159154645"
"No","2010","Baden-Württemberg","Other degree","217","0.891700023044546","0.852465973084339","0.930934073004754"
"No","2010","Baden-Württemberg","no degree/no degree yet","69","0.912976681738016","0.849184842825078","0.976768520650953"
"No","2010","Bavaria","lower secondary degree","1002","0.801537641452372","0.77939190612709","0.823683376777653"
"No","2010","Bavaria","secondary school degree","564","0.625856452239766","0.592975610647634","0.658737293831897"
"No","2010","Bavaria","college entrance qualification","360","0.626281558748359","0.58673841031471","0.665824707182009"
"No","2010","Bavaria","Other degree","206","0.856325404671611","0.81099458432238","0.901656225020843"
"No","2010","Bavaria","no degree/no degree yet","82","0.906425098921523","0.849627097560644","0.963223100282402"
"No","2010","Berlin","lower secondary degree","119","0.881321455326778","0.82736271216262","0.935280198490937"
"No","2010","Berlin","secondary school degree","214","0.826765252219288","0.781200001333388","0.872330503105188"
"No","2010","Berlin","college entrance qualification","215","0.811433607876551","0.764861908318271","0.858005307434831"
"No","2010","Berlin","Other degree","63","0.912995709336825","0.845509444290542","0.980481974383108"
"No","2010","Berlin","no degree/no degree yet","28","","",""
"No","2010","Brandenburg","lower secondary degree","190","0.921789112963145","0.885730610823183","0.957847615103106"
"No","2010","Brandenburg","secondary school degree","353","0.843570842944624","0.808016264198224","0.879125421691024"
"No","2010","Brandenburg","college entrance qualification","165","0.787278671433179","0.731797616626377","0.84275972623998"
"No","2010","Brandenburg","Other degree","23","","",""
"No","2010","Brandenburg","no degree/no degree yet","14","","",""
"No","2010","Mecklenburg-Western Pomerania","lower secondary degree","112","0.942166329740087","0.900574351902818","0.983758307577356"
"No","2010","Mecklenburg-Western Pomerania","secondary school degree","249","0.881941776564133","0.843804487072821","0.920079066055445"
"No","2010","Mecklenburg-Western Pomerania","college entrance qualification","80","0.8909057951422","0.829182118734652","0.952629471549747"
"No","2010","Mecklenburg-Western Pomerania","Other degree","11","","",""
"No","2010","Mecklenburg-Western Pomerania","no degree/no degree yet","19","","",""
"No","2010","Saxony","lower secondary degree","316","0.923597887048216","0.895194338426156","0.952001435670275"
"No","2010","Saxony","secondary school degree","656","0.844129224420419","0.818689676439765","0.869568772401073"
"No","2010","Saxony","college entrance qualification","294","0.829399531998956","0.791174432620687","0.867624631377224"
"No","2010","Saxony","Other degree","23","","",""
"No","2010","Saxony","no degree/no degree yet","17","","",""
"No","2010","Saxony-Anhalt","lower secondary degree","211","0.955626825853906","0.92853888339838","0.982714768309433"
"No","2010","Saxony-Anhalt","secondary school degree","325","0.822308016973401","0.78427301812461","0.860343015822192"
"No","2010","Saxony-Anhalt","college entrance qualification","163","0.819966510497968","0.766314044855552","0.873618976140383"
"No","2010","Saxony-Anhalt","Other degree","18","","",""
"No","2010","Saxony-Anhalt","no degree/no degree yet","11","","",""
"No","2010","Thuringia","lower secondary degree","246","0.943318570096921","0.91531927897107","0.971317861222772"
"No","2010","Thuringia","secondary school degree","371","0.912992308817071","0.885875634543043","0.940108983091099"
"No","2010","Thuringia","college entrance qualification","129","0.766794601394226","0.702466183522685","0.831123019265767"
"No","2010","Thuringia","Other degree","11","","",""
"No","2010","Thuringia","no degree/no degree yet","4","","",""
"Yes","2011","Schleswig-Holstein","lower secondary degree","42","0.2144926503315","0.15816594599242","0.270819354670579"
"Yes","2011","Schleswig-Holstein","secondary school degree","43","0.262476007582861","0.196530848834409","0.328421166331313"
"Yes","2011","Schleswig-Holstein","college entrance qualification","38","0.350248202960332","0.265597634638895","0.434898771281768"
"Yes","2011","Schleswig-Holstein","Other degree","1","","",""
"Yes","2011","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Yes","2011","Hamburg","lower secondary degree","14","","",""
"Yes","2011","Hamburg","secondary school degree","17","","",""
"Yes","2011","Hamburg","college entrance qualification","29","","",""
"Yes","2011","Hamburg","Other degree","1","","",""
"Yes","2011","Hamburg","no degree/no degree yet","","","",""
"Yes","2011","Lower Saxony","lower secondary degree","99","0.133617426963242","0.106727046971134","0.16050780695535"
"Yes","2011","Lower Saxony","secondary school degree","146","0.250684151949067","0.213432776094204","0.287935527803929"
"Yes","2011","Lower Saxony","college entrance qualification","112","0.344463542263638","0.291903788292084","0.397023296235192"
"Yes","2011","Lower Saxony","Other degree","9","","",""
"Yes","2011","Lower Saxony","no degree/no degree yet","5","","",""
"Yes","2011","Bremen","lower secondary degree","2","","",""
"Yes","2011","Bremen","secondary school degree","8","","",""
"Yes","2011","Bremen","college entrance qualification","8","","",""
"Yes","2011","Bremen","Other degree","1","","",""
"Yes","2011","Bremen","no degree/no degree yet","","","",""
"Yes","2011","North Rhine-Westphalia","lower secondary degree","220","0.15562270134922","0.135985345190546","0.175260057507893"
"Yes","2011","North Rhine-Westphalia","secondary school degree","221","0.266185339525097","0.235129480200754","0.29724119884944"
"Yes","2011","North Rhine-Westphalia","college entrance qualification","310","0.354823336376902","0.32205521429991","0.387591458453894"
"Yes","2011","North Rhine-Westphalia","Other degree","20","","",""
"Yes","2011","North Rhine-Westphalia","no degree/no degree yet","16","","",""
"Yes","2011","Hesse","lower secondary degree","75","0.178078140986389","0.138111529271311","0.218044752701468"
"Yes","2011","Hesse","secondary school degree","109","0.310931269564586","0.260136824412787","0.361725714716384"
"Yes","2011","Hesse","college entrance qualification","105","0.356357807946348","0.302697548294926","0.410018067597771"
"Yes","2011","Hesse","Other degree","4","","",""
"Yes","2011","Hesse","no degree/no degree yet","3","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","lower secondary degree","78","0.182737622272517","0.148379873902813","0.217095370642221"
"Yes","2011","Rhineland-Palatinate,Saarland","secondary school degree","67","0.282668725470818","0.223300958016116","0.342036492925519"
"Yes","2011","Rhineland-Palatinate,Saarland","college entrance qualification","41","0.170835202721231","0.111198793377724","0.230471612064738"
"Yes","2011","Rhineland-Palatinate,Saarland","Other degree","5","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","2011","Baden-Württemberg","lower secondary degree","157","0.219273079722699","0.189953373874374","0.248592785571024"
"Yes","2011","Baden-Württemberg","secondary school degree","180","0.374852917781935","0.333640156994193","0.416065678569676"
"Yes","2011","Baden-Württemberg","college entrance qualification","183","0.406627738236244","0.361344133146719","0.451911343325768"
"Yes","2011","Baden-Württemberg","Other degree","16","","",""
"Yes","2011","Baden-Württemberg","no degree/no degree yet","7","","",""
"Yes","2011","Bavaria","lower secondary degree","231","0.198630402071463","0.175661212874682","0.221599591268244"
"Yes","2011","Bavaria","secondary school degree","234","0.337069709791188","0.301006039963381","0.373133379618995"
"Yes","2011","Bavaria","college entrance qualification","165","0.282566234668033","0.243642225157792","0.321490244178273"
"Yes","2011","Bavaria","Other degree","25","","",""
"Yes","2011","Bavaria","no degree/no degree yet","14","","",""
"Yes","2011","Berlin","lower secondary degree","17","","",""
"Yes","2011","Berlin","secondary school degree","59","0.235291316066006","0.180352245202562","0.29023038692945"
"Yes","2011","Berlin","college entrance qualification","65","0.271856438258124","0.215092775943417","0.328620100572832"
"Yes","2011","Berlin","Other degree","7","","",""
"Yes","2011","Berlin","no degree/no degree yet","4","","",""
"Yes","2011","Brandenburg","lower secondary degree","21","","",""
"Yes","2011","Brandenburg","secondary school degree","71","0.214772841918654","0.172173653930982","0.257372029906326"
"Yes","2011","Brandenburg","college entrance qualification","34","0.204894378090404","0.142547805140225","0.267240951040583"
"Yes","2011","Brandenburg","Other degree","3","","",""
"Yes","2011","Brandenburg","no degree/no degree yet","","","",""
"Yes","2011","Mecklenburg-Western Pomerania","lower secondary degree","4","","",""
"Yes","2011","Mecklenburg-Western Pomerania","secondary school degree","35","0.19297992254853","0.143463254737193","0.242496590359867"
"Yes","2011","Mecklenburg-Western Pomerania","college entrance qualification","18","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2011","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","2011","Saxony","lower secondary degree","14","","",""
"Yes","2011","Saxony","secondary school degree","110","0.155340057325017","0.127077198366325","0.183602916283708"
"Yes","2011","Saxony","college entrance qualification","72","0.173233227277056","0.130408503648881","0.216057950905232"
"Yes","2011","Saxony","Other degree","1","","",""
"Yes","2011","Saxony","no degree/no degree yet","3","","",""
"Yes","2011","Saxony-Anhalt","lower secondary degree","12","","",""
"Yes","2011","Saxony-Anhalt","secondary school degree","51","0.132438047531601","0.0965658762560817","0.16831021880712"
"Yes","2011","Saxony-Anhalt","college entrance qualification","33","0.181106795740433","0.124532507762077","0.237681083718789"
"Yes","2011","Saxony-Anhalt","Other degree","1","","",""
"Yes","2011","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","2011","Thuringia","lower secondary degree","20","","",""
"Yes","2011","Thuringia","secondary school degree","53","0.131124224088532","0.0962084900212599","0.166039958155805"
"Yes","2011","Thuringia","college entrance qualification","33","0.246953072478748","0.177710500014961","0.316195644942535"
"Yes","2011","Thuringia","Other degree","","","",""
"Yes","2011","Thuringia","no degree/no degree yet","2","","",""
"No","2011","Schleswig-Holstein","lower secondary degree","162","0.785507349668501","0.729180645329421","0.84183405400758"
"No","2011","Schleswig-Holstein","secondary school degree","128","0.737523992417139","0.671578833668687","0.803469151165591"
"No","2011","Schleswig-Holstein","college entrance qualification","84","0.649751797039668","0.565101228718232","0.734402365361105"
"No","2011","Schleswig-Holstein","Other degree","32","0.972828274332455","0.917357040751993","1.02829950791292"
"No","2011","Schleswig-Holstein","no degree/no degree yet","22","","",""
"No","2011","Hamburg","lower secondary degree","54","0.825861152316718","0.735725836090632","0.915996468542803"
"No","2011","Hamburg","secondary school degree","53","0.776684683864075","0.679122683419267","0.874246684308883"
"No","2011","Hamburg","college entrance qualification","61","0.595063498914957","0.493648554946085","0.696478442883829"
"No","2011","Hamburg","Other degree","9","","",""
"No","2011","Hamburg","no degree/no degree yet","4","","",""
"No","2011","Lower Saxony","lower secondary degree","516","0.866382573036758","0.83949219304465","0.893272953028866"
"No","2011","Lower Saxony","secondary school degree","374","0.749315848050933","0.712064472196071","0.786567223905796"
"No","2011","Lower Saxony","college entrance qualification","202","0.655536457736362","0.602976703764808","0.708096211707916"
"No","2011","Lower Saxony","Other degree","79","0.887642268433277","0.821660002851718","0.953624534014836"
"No","2011","Lower Saxony","no degree/no degree yet","45","0.882442621603537","0.793167330872809","0.971717912334266"
"No","2011","Bremen","lower secondary degree","29","","",""
"No","2011","Bremen","secondary school degree","26","","",""
"No","2011","Bremen","college entrance qualification","21","","",""
"No","2011","Bremen","Other degree","9","","",""
"No","2011","Bremen","no degree/no degree yet","3","","",""
"No","2011","North Rhine-Westphalia","lower secondary degree","1089","0.84437729865078","0.824739942492107","0.864014654809454"
"No","2011","North Rhine-Westphalia","secondary school degree","557","0.733814660474903","0.70275880115056","0.764870519799246"
"No","2011","North Rhine-Westphalia","college entrance qualification","509","0.645176663623098","0.612408541546106","0.67794478570009"
"No","2011","North Rhine-Westphalia","Other degree","281","0.934051151936204","0.906012716215401","0.962089587657006"
"No","2011","North Rhine-Westphalia","no degree/no degree yet","128","0.938262277656778","0.898952166249097","0.977572389064459"
"No","2011","Hesse","lower secondary degree","277","0.821921859013611","0.781955247298532","0.861888470728689"
"No","2011","Hesse","secondary school degree","210","0.689068730435414","0.638274285283616","0.739863175587213"
"No","2011","Hesse","college entrance qualification","201","0.643642192053652","0.589981932402229","0.697302451705074"
"No","2011","Hesse","Other degree","86","0.97416077623931","0.941382818779646","1.00693873369897"
"No","2011","Hesse","no degree/no degree yet","40","0.937852790506646","0.865693539422103","1.01001204159119"
"No","2011","Rhineland-Palatinate,Saarland","lower secondary degree","408","0.817262377727483","0.782904629357779","0.851620126097187"
"No","2011","Rhineland-Palatinate,Saarland","secondary school degree","154","0.717331274529182","0.657963507074481","0.776699041983884"
"No","2011","Rhineland-Palatinate,Saarland","college entrance qualification","112","0.829164797278769","0.769528387935261","0.888801206622276"
"No","2011","Rhineland-Palatinate,Saarland","Other degree","71","0.947829135203843","0.897834852706453","0.997823417701234"
"No","2011","Rhineland-Palatinate,Saarland","no degree/no degree yet","25","","",""
"No","2011","Baden-Württemberg","lower secondary degree","608","0.780726920277301","0.751407214428976","0.810046626125626"
"No","2011","Baden-Württemberg","secondary school degree","350","0.625147082218065","0.583934321430324","0.666359843005807"
"No","2011","Baden-Württemberg","college entrance qualification","269","0.593372261763756","0.548088656674232","0.638655866853281"
"No","2011","Baden-Württemberg","Other degree","175","0.905370453467009","0.863859955285909","0.946880951648108"
"No","2011","Baden-Württemberg","no degree/no degree yet","49","0.896425141792491","0.816618641655837","0.976231641929145"
"No","2011","Bavaria","lower secondary degree","928","0.801369597928537","0.778400408731756","0.824338787125318"
"No","2011","Bavaria","secondary school degree","426","0.662930290208812","0.626866620381005","0.698993960036619"
"No","2011","Bavaria","college entrance qualification","349","0.717433765331967","0.678509755821726","0.756357774842208"
"No","2011","Bavaria","Other degree","146","0.862824943251404","0.81126066350546","0.914389222997348"
"No","2011","Bavaria","no degree/no degree yet","53","0.873944727977476","0.794469244225216","0.953420211729735"
"No","2011","Berlin","lower secondary degree","113","0.881619048052165","0.826085194419691","0.937152901684639"
"No","2011","Berlin","secondary school degree","170","0.764708683933994","0.70976961307055","0.819647754797438"
"No","2011","Berlin","college entrance qualification","171","0.728143561741876","0.671379899427168","0.784907224056584"
"No","2011","Berlin","Other degree","28","","",""
"No","2011","Berlin","no degree/no degree yet","11","","",""
"No","2011","Brandenburg","lower secondary degree","219","0.908219534112574","0.871692617062557","0.944746451162591"
"No","2011","Brandenburg","secondary school degree","286","0.785227158081346","0.742627970093674","0.827826346069018"
"No","2011","Brandenburg","college entrance qualification","127","0.795105621909596","0.732759048959417","0.857452194859775"
"No","2011","Brandenburg","Other degree","19","","",""
"No","2011","Brandenburg","no degree/no degree yet","16","","",""
"No","2011","Mecklenburg-Western Pomerania","lower secondary degree","106","0.972709788857212","0.942262625345326","1.0031569523691"
"No","2011","Mecklenburg-Western Pomerania","secondary school degree","209","0.80702007745147","0.757503409640133","0.856536745262807"
"No","2011","Mecklenburg-Western Pomerania","college entrance qualification","70","0.776877125612181","0.68989000204281","0.863864249181551"
"No","2011","Mecklenburg-Western Pomerania","Other degree","3","","",""
"No","2011","Mecklenburg-Western Pomerania","no degree/no degree yet","14","","",""
"No","2011","Saxony","lower secondary degree","313","0.969842191142557","0.951305823114742","0.988378559170372"
"No","2011","Saxony","secondary school degree","521","0.844659942674983","0.816397083716292","0.872922801633675"
"No","2011","Saxony","college entrance qualification","228","0.826766772722944","0.783942049094768","0.869591496351119"
"No","2011","Saxony","Other degree","12","","",""
"No","2011","Saxony","no degree/no degree yet","8","","",""
"No","2011","Saxony-Anhalt","lower secondary degree","224","0.950644216381975","0.92300853859375","0.978279894170199"
"No","2011","Saxony-Anhalt","secondary school degree","292","0.867561952468399","0.83168978119288","0.903434123743918"
"No","2011","Saxony-Anhalt","college entrance qualification","145","0.818893204259567","0.762318916281211","0.875467492237923"
"No","2011","Saxony-Anhalt","Other degree","16","","",""
"No","2011","Saxony-Anhalt","no degree/no degree yet","11","","",""
"No","2011","Thuringia","lower secondary degree","257","0.94185918484657","0.914301561919996","0.969416807773143"
"No","2011","Thuringia","secondary school degree","306","0.868875775911468","0.833960041844195","0.90379150997874"
"No","2011","Thuringia","college entrance qualification","116","0.753046927521252","0.683804355057465","0.822289499985039"
"No","2011","Thuringia","Other degree","10","","",""
"No","2011","Thuringia","no degree/no degree yet","5","","",""
"Yes","2012","Schleswig-Holstein","lower secondary degree","41","0.13600100916751","0.0960633545970568","0.175938663737964"
"Yes","2012","Schleswig-Holstein","secondary school degree","71","0.272844288083401","0.21961592701919","0.326072649147612"
"Yes","2012","Schleswig-Holstein","college entrance qualification","55","0.264517437012017","0.201800529751416","0.327234344272617"
"Yes","2012","Schleswig-Holstein","Other degree","6","","",""
"Yes","2012","Schleswig-Holstein","no degree/no degree yet","5","","",""
"Yes","2012","Hamburg","lower secondary degree","18","","",""
"Yes","2012","Hamburg","secondary school degree","26","","",""
"Yes","2012","Hamburg","college entrance qualification","44","0.381776966664395","0.298583370915353","0.464970562413438"
"Yes","2012","Hamburg","Other degree","2","","",""
"Yes","2012","Hamburg","no degree/no degree yet","1","","",""
"Yes","2012","Lower Saxony","lower secondary degree","118","0.142591767997939","0.117347929184485","0.167835606811394"
"Yes","2012","Lower Saxony","secondary school degree","208","0.271857911088529","0.239930938988983","0.303784883188075"
"Yes","2012","Lower Saxony","college entrance qualification","158","0.366463231527695","0.3226684130535","0.41025805000189"
"Yes","2012","Lower Saxony","Other degree","12","","",""
"Yes","2012","Lower Saxony","no degree/no degree yet","5","","",""
"Yes","2012","Bremen","lower secondary degree","3","","",""
"Yes","2012","Bremen","secondary school degree","13","","",""
"Yes","2012","Bremen","college entrance qualification","18","","",""
"Yes","2012","Bremen","Other degree","2","","",""
"Yes","2012","Bremen","no degree/no degree yet","1","","",""
"Yes","2012","North Rhine-Westphalia","lower secondary degree","238","0.168088947819307","0.149146102315567","0.187031793323047"
"Yes","2012","North Rhine-Westphalia","secondary school degree","281","0.255542525278232","0.22973203134201","0.281353019214455"
"Yes","2012","North Rhine-Westphalia","college entrance qualification","462","0.361656186942562","0.334977506435221","0.388334867449903"
"Yes","2012","North Rhine-Westphalia","Other degree","29","","",""
"Yes","2012","North Rhine-Westphalia","no degree/no degree yet","20","","",""
"Yes","2012","Hesse","lower secondary degree","86","0.182058943221357","0.145371230316696","0.218746656126018"
"Yes","2012","Hesse","secondary school degree","139","0.3437366071336","0.299052281404126","0.388420932863075"
"Yes","2012","Hesse","college entrance qualification","138","0.238206485526624","0.198627604486305","0.277785366566943"
"Yes","2012","Hesse","Other degree","14","","",""
"Yes","2012","Hesse","no degree/no degree yet","5","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","lower secondary degree","98","0.1755700373892","0.143946330237421","0.20719374454098"
"Yes","2012","Rhineland-Palatinate,Saarland","secondary school degree","90","0.288060333797804","0.23723719345226","0.338883474143349"
"Yes","2012","Rhineland-Palatinate,Saarland","college entrance qualification","81","0.295900162137266","0.240944192138574","0.350856132135957"
"Yes","2012","Rhineland-Palatinate,Saarland","Other degree","10","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","no degree/no degree yet","3","","",""
"Yes","2012","Baden-Württemberg","lower secondary degree","188","0.210969778037279","0.184432149616274","0.237507406458283"
"Yes","2012","Baden-Württemberg","secondary school degree","274","0.37516859690859","0.341491666184326","0.408845527632853"
"Yes","2012","Baden-Württemberg","college entrance qualification","283","0.399372310546826","0.362641594950015","0.436103026143637"
"Yes","2012","Baden-Württemberg","Other degree","29","","",""
"Yes","2012","Baden-Württemberg","no degree/no degree yet","7","","",""
"Yes","2012","Bavaria","lower secondary degree","349","0.228635957143748","0.207087191085788","0.250184723201708"
"Yes","2012","Bavaria","secondary school degree","374","0.368623276047961","0.339218120400156","0.398028431695765"
"Yes","2012","Bavaria","college entrance qualification","252","0.317117379298602","0.282911847836467","0.351322910760736"
"Yes","2012","Bavaria","Other degree","37","0.116680405737666","0.080532372391799","0.152828439083534"
"Yes","2012","Bavaria","no degree/no degree yet","9","","",""
"Yes","2012","Berlin","lower secondary degree","27","","",""
"Yes","2012","Berlin","secondary school degree","64","0.205409547851117","0.158991851739292","0.251827243962941"
"Yes","2012","Berlin","college entrance qualification","86","0.300381175569499","0.249836938074039","0.350925413064959"
"Yes","2012","Berlin","Other degree","5","","",""
"Yes","2012","Berlin","no degree/no degree yet","5","","",""
"Yes","2012","Brandenburg","lower secondary degree","28","","",""
"Yes","2012","Brandenburg","secondary school degree","85","0.193867952975366","0.157463450879663","0.23027245507107"
"Yes","2012","Brandenburg","college entrance qualification","49","0.216653093509445","0.162583242469308","0.270722944549582"
"Yes","2012","Brandenburg","Other degree","1","","",""
"Yes","2012","Brandenburg","no degree/no degree yet","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","lower secondary degree","8","","",""
"Yes","2012","Mecklenburg-Western Pomerania","secondary school degree","45","0.153695136449394","0.113351746870773","0.194038526028015"
"Yes","2012","Mecklenburg-Western Pomerania","college entrance qualification","25","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Yes","2012","Saxony","lower secondary degree","26","","",""
"Yes","2012","Saxony","secondary school degree","160","0.195966397830863","0.169123070181541","0.222809725480185"
"Yes","2012","Saxony","college entrance qualification","104","0.234909150006146","0.193973098182401","0.275845201829891"
"Yes","2012","Saxony","Other degree","2","","",""
"Yes","2012","Saxony","no degree/no degree yet","2","","",""
