"ple0098_v5","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2004","Employed","(3b) higher tertiary education","835","0.785468490218813","0.760975190490539","0.809961789947088"
"Yes","2005","Not Employed","(0) in school","30","0.0689813229466541","0.0450283833389642","0.0929342625543441"
"Yes","2005","Not Employed","(1a) inadequately completed","3","","",""
"Yes","2005","Not Employed","(1b) general elementary school","33","0.0335946777094535","0.0231489218334062","0.0440404335855008"
"Yes","2005","Not Employed","(1c) basic vocational qualification","198","0.0740259792948868","0.0641026164529849","0.0839493421367886"
"Yes","2005","Not Employed","(2b) intermediate general qualification","10","","",""
"Yes","2005","Not Employed","(2a) intermediate vocational","177","0.174003470436939","0.150726360087806","0.197280580786072"
"Yes","2005","Not Employed","(2c_gen) general maturity certificate","34","0.0897303760109346","0.0555138855071467","0.123946866514722"
"Yes","2005","Not Employed","(2c_voc) vocational maturity certificate","54","0.184749409611853","0.141616874242799","0.227881944980907"
"Yes","2005","Not Employed","(3a) lower tertiary education","63","0.151152285960591","0.115556749556073","0.186747822365108"
"Yes","2005","Not Employed","(3b) higher tertiary education","73","0.146843970238433","0.109548822409781","0.184139118067086"
"Yes","2005","Employed","(0) in school","8","","",""
"Yes","2005","Employed","(1a) inadequately completed","4","","",""
"Yes","2005","Employed","(1b) general elementary school","33","0.0568049018812471","0.0394073832928947","0.0742024204695995"
"Yes","2005","Employed","(1c) basic vocational qualification","354","0.140455397191522","0.127268579316682","0.153642215066363"
"Yes","2005","Employed","(2b) intermediate general qualification","28","","",""
"Yes","2005","Employed","(2a) intermediate vocational","517","0.167437979892215","0.15447740636696","0.18039855341747"
"Yes","2005","Employed","(2c_gen) general maturity certificate","62","0.149922117110422","0.114582058193089","0.185262176027755"
"Yes","2005","Employed","(2c_voc) vocational maturity certificate","197","0.173231100348001","0.149353568549325","0.197108632146677"
"Yes","2005","Employed","(3a) lower tertiary education","175","0.207390331574521","0.180618130840864","0.234162532308177"
"Yes","2005","Employed","(3b) higher tertiary education","247","0.242234664159536","0.216308046695488","0.268161281623583"
"No","2005","Not Employed","(0) in school","400","0.931018677053346","0.907065737445656","0.954971616661036"
"No","2005","Not Employed","(1a) inadequately completed","152","0.968804741369513","0.941436640299372","0.996172842439655"
"No","2005","Not Employed","(1b) general elementary school","1110","0.966405322290547","0.955959566414499","0.976851078166594"
"No","2005","Not Employed","(1c) basic vocational qualification","2476","0.925974020705113","0.916050657863211","0.935897383547015"
"No","2005","Not Employed","(2b) intermediate general qualification","178","0.936432779031401","0.901556986717298","0.971308571345503"
"No","2005","Not Employed","(2a) intermediate vocational","842","0.825996529563061","0.802719419213928","0.849273639912194"
"No","2005","Not Employed","(2c_gen) general maturity certificate","234","0.910269623989065","0.876053133485278","0.944486114492853"
"No","2005","Not Employed","(2c_voc) vocational maturity certificate","257","0.815250590388147","0.772118055019093","0.858383125757201"
"No","2005","Not Employed","(3a) lower tertiary education","326","0.84884771403941","0.813252177634892","0.884443250443927"
"No","2005","Not Employed","(3b) higher tertiary education","273","0.853156029761566","0.815860881932914","0.890451177590219"
"No","2005","Employed","(0) in school","72","0.838578199513033","0.757955752593507","0.919200646432558"
"No","2005","Employed","(1a) inadequately completed","80","0.96849566932435","0.931141213145019","1.00585012550368"
"No","2005","Employed","(1b) general elementary school","647","0.943195098118753","0.925797579530401","0.960592616707105"
"No","2005","Employed","(1c) basic vocational qualification","2313","0.859544602808478","0.846357784933637","0.872731420683318"
"No","2005","Employed","(2b) intermediate general qualification","327","0.925673642768388","0.898387993796192","0.952959291740584"
