"m11125","year","migback","n","percent","lower_confidence","upper_confidence"
"6 on Scale 1 to 10","2019","direct migration background","628","0.10659636872954","0.0997066661643826","0.113486071294698"
"6 on Scale 1 to 10","2019","indirect migration background","125","0.065583407069579","0.0538536141658344","0.0773131999733236"
"7 on Scale 1 to 10","2019","no migration background","3826","0.191987082806935","0.186567937192224","0.197406228421645"
"7 on Scale 1 to 10","2019","direct migration background","1121","0.170808361291295","0.162406269309037","0.179210453273553"
"7 on Scale 1 to 10","2019","indirect migration background","296","0.19949165246167","0.180556518472183","0.218426786451157"
"8 on Scale 1 to 10","2019","no migration background","5025","0.228991223139805","0.223209933290704","0.234772512988907"
"8 on Scale 1 to 10","2019","direct migration background","1592","0.231108898523475","0.221697673387652","0.240520123659299"
"8 on Scale 1 to 10","2019","indirect migration background","392","0.219327542753711","0.199720860918318","0.238934224589103"
"9 on Scale 1 to 10","2019","no migration background","2627","0.115392140455359","0.11099622657448","0.119788054336238"
"9 on Scale 1 to 10","2019","direct migration background","1114","0.123689081064382","0.116338863325784","0.13103929880298"
"9 on Scale 1 to 10","2019","indirect migration background","299","0.155187144909917","0.138030545355842","0.172343744463993"
"10 Completely satisfied","2019","no migration background","1375","0.0574327196659894","0.0542314553377751","0.0606339839942036"
"10 Completely satisfied","2019","direct migration background","1524","0.110252353615174","0.103259848864025","0.117244858366324"
"10 Completely satisfied","2019","indirect migration background","280","0.16757187417643","0.149874981278553","0.185268767074307"
