"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2008","Couple + C. GT 16 ","(2c_gen) general maturity certificate","19","","",""
"Yes","2008","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","25","","",""
"Yes","2008","Couple + C. GT 16 ","(3a) lower tertiary education","53","0.229455261711457","0.167334081620769","0.291576441802145"
"Yes","2008","Couple + C. GT 16 ","(3b) higher tertiary education","141","0.399717906288684","0.34587989275495","0.453555919822419"
"Yes","2008","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2008","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","2008","Couple + C. LE and GT 16","(1b) general elementary school","5","","",""
"Yes","2008","Couple + C. LE and GT 16","(1c) basic vocational qualification","25","","",""
"Yes","2008","Couple + C. LE and GT 16","(2b) intermediate general qualification","12","","",""
"Yes","2008","Couple + C. LE and GT 16","(2a) intermediate vocational","52","0.160845885649072","0.113873782901928","0.207817988396216"
"Yes","2008","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","7","","",""
"Yes","2008","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","20","","",""
"Yes","2008","Couple + C. LE and GT 16","(3a) lower tertiary education","27","","",""
"Yes","2008","Couple + C. LE and GT 16","(3b) higher tertiary education","43","0.336353511359465","0.250002872659669","0.42270415005926"
"No","2008","1-pers.-HH","(0) in school","","","",""
"No","2008","1-pers.-HH","(1a) inadequately completed","7","","",""
"No","2008","1-pers.-HH","(1b) general elementary school","37","0.801250323518744","0.683338032720339","0.919162614317148"
"No","2008","1-pers.-HH","(1c) basic vocational qualification","226","0.872033489248341","0.83218783566171","0.911879142834972"
"No","2008","1-pers.-HH","(2b) intermediate general qualification","11","","",""
"No","2008","1-pers.-HH","(2a) intermediate vocational","281","0.734235720607953","0.689879793421062","0.778591647794844"
"No","2008","1-pers.-HH","(2c_gen) general maturity certificate","52","0.80334739195989","0.710236471423753","0.896458312496027"
"No","2008","1-pers.-HH","(2c_voc) vocational maturity certificate","110","0.745615763166787","0.67398384886632","0.817247677467255"
"No","2008","1-pers.-HH","(3a) lower tertiary education","96","0.745823147153156","0.673180029317198","0.818466264989113"
"No","2008","1-pers.-HH","(3b) higher tertiary education","133","0.61759187122866","0.555191887879686","0.679991854577634"
"No","2008","(Married) couple without C. ","(0) in school","","","",""
"No","2008","(Married) couple without C. ","(1a) inadequately completed","14","","",""
"No","2008","(Married) couple without C. ","(1b) general elementary school","85","0.838530587246111","0.767811603873576","0.909249570618646"
"No","2008","(Married) couple without C. ","(1c) basic vocational qualification","546","0.821755234015242","0.792355917819239","0.851154550211244"
"No","2008","(Married) couple without C. ","(2b) intermediate general qualification","25","","",""
"No","2008","(Married) couple without C. ","(2a) intermediate vocational","659","0.738129787826973","0.709015548079523","0.767244027574424"
"No","2008","(Married) couple without C. ","(2c_gen) general maturity certificate","48","0.675521535674266","0.56505363925055","0.785989432097982"
"No","2008","(Married) couple without C. ","(2c_voc) vocational maturity certificate","202","0.809563037898535","0.76192774987359","0.85719832592348"
"No","2008","(Married) couple without C. ","(3a) lower tertiary education","236","0.651965152111716","0.602758887509407","0.701171416714026"
"No","2008","(Married) couple without C. ","(3b) higher tertiary education","344","0.627377215348359","0.587926102439766","0.666828328256951"
"No","2008","Single parent ","(0) in school","6","","",""
"No","2008","Single parent ","(1a) inadequately completed","3","","",""
"No","2008","Single parent ","(1b) general elementary school","41","0.923686060124998","0.849347493393706","0.99802462685629"
"No","2008","Single parent ","(1c) basic vocational qualification","102","0.866300783926755","0.804895481946627","0.927706085906883"
"No","2008","Single parent ","(2b) intermediate general qualification","31","0.877812979438055","0.76931351227581","0.986312446600299"
"No","2008","Single parent ","(2a) intermediate vocational","128","0.705636997726053","0.638683946538087","0.772590048914019"
"No","2008","Single parent ","(2c_gen) general maturity certificate","27","","",""
"No","2008","Single parent ","(2c_voc) vocational maturity certificate","33","0.595158082489236","0.453308494167997","0.737007670810474"
"No","2008","Single parent ","(3a) lower tertiary education","25","","",""
"No","2008","Single parent ","(3b) higher tertiary education","29","","",""
"No","2008","Couple + C. LE 16 ","(0) in school","","","",""
"No","2008","Couple + C. LE 16 ","(1a) inadequately completed","12","","",""
"No","2008","Couple + C. LE 16 ","(1b) general elementary school","76","0.814979966170436","0.732910480834726","0.897049451506147"
"No","2008","Couple + C. LE 16 ","(1c) basic vocational qualification","442","0.898735287333773","0.872423680785996","0.92504689388155"
"No","2008","Couple + C. LE 16 ","(2b) intermediate general qualification","21","","",""
"No","2008","Couple + C. LE 16 ","(2a) intermediate vocational","620","0.811193274221591","0.783658080806473","0.838728467636709"
"No","2008","Couple + C. LE 16 ","(2c_gen) general maturity certificate","36","0.865911922980515","0.762860169272736","0.968963676688294"
"No","2008","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","230","0.726940708456231","0.677264684733315","0.776616732179147"
"No","2008","Couple + C. LE 16 ","(3a) lower tertiary education","146","0.659907241535019","0.59744866336198","0.722365819708057"
"No","2008","Couple + C. LE 16 ","(3b) higher tertiary education","284","0.690663778804402","0.64651123080863","0.734816326800174"
"No","2008","Couple + C. GT 16 ","(0) in school","9","","",""
"No","2008","Couple + C. GT 16 ","(1a) inadequately completed","6","","",""
"No","2008","Couple + C. GT 16 ","(1b) general elementary school","92","0.756368142551896","0.677567580026541","0.835168705077251"
"No","2008","Couple + C. GT 16 ","(1c) basic vocational qualification","383","0.855149355429358","0.823398290644578","0.886900420214139"
"No","2008","Couple + C. GT 16 ","(2b) intermediate general qualification","71","0.874216122934686","0.804131819739186","0.944300426130187"
"No","2008","Couple + C. GT 16 ","(2a) intermediate vocational","454","0.755558141827634","0.721482094006626","0.789634189648642"
"No","2008","Couple + C. GT 16 ","(2c_gen) general maturity certificate","66","0.78915871927599","0.7024428402906","0.875874598261381"
"No","2008","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","121","0.868402116819152","0.813567280483158","0.923236953155145"
"No","2008","Couple + C. GT 16 ","(3a) lower tertiary education","123","0.770544738288543","0.708423558197855","0.832665918379231"
"No","2008","Couple + C. GT 16 ","(3b) higher tertiary education","177","0.600282093711316","0.546444080177581","0.65412010724505"
"No","2008","Couple + C. LE and GT 16","(0) in school","10","","",""
"No","2008","Couple + C. LE and GT 16","(1a) inadequately completed","5","","",""
"No","2008","Couple + C. LE and GT 16","(1b) general elementary school","39","0.901875444885559","0.813976454964072","0.989774434807045"
"No","2008","Couple + C. LE and GT 16","(1c) basic vocational qualification","132","0.810073168308694","0.748717661148162","0.871428675469226"
"No","2008","Couple + C. LE and GT 16","(2b) intermediate general qualification","27","","",""
"No","2008","Couple + C. LE and GT 16","(2a) intermediate vocational","183","0.839154114350928","0.792182011603784","0.886126217098072"
"No","2008","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","18","","",""
"No","2008","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","50","0.800154571886893","0.706477539284284","0.893831604489503"
"No","2008","Couple + C. LE and GT 16","(3a) lower tertiary education","50","0.661903382552085","0.556240989700867","0.767565775403304"
"No","2008","Couple + C. LE and GT 16","(3b) higher tertiary education","72","0.663646488640535","0.57729584994074","0.749997127340331"
"Yes","2009","1-pers.-HH","(0) in school","","","",""
"Yes","2009","1-pers.-HH","(1a) inadequately completed","2","","",""
"Yes","2009","1-pers.-HH","(1b) general elementary school","6","","",""
"Yes","2009","1-pers.-HH","(1c) basic vocational qualification","43","0.146303962556635","0.10318007397629","0.189427851136979"
"Yes","2009","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes","2009","1-pers.-HH","(2a) intermediate vocational","91","0.23857178636295","0.194544606856839","0.282598965869061"
"Yes","2009","1-pers.-HH","(2c_gen) general maturity certificate","17","","",""
"Yes","2009","1-pers.-HH","(2c_voc) vocational maturity certificate","32","0.2639125144618","0.189006450016189","0.338818578907411"
"Yes","2009","1-pers.-HH","(3a) lower tertiary education","37","0.234202833975723","0.163287401163322","0.305118266788125"
"Yes","2009","1-pers.-HH","(3b) higher tertiary education","117","0.425198148542593","0.363545125546664","0.486851171538523"
"Yes","2009","(Married) couple without C. ","(0) in school","","","",""
"Yes","2009","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","2009","(Married) couple without C. ","(1b) general elementary school","11","","",""
"Yes","2009","(Married) couple without C. ","(1c) basic vocational qualification","96","0.155760778584072","0.127578159537256","0.183943397630888"
"Yes","2009","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"Yes","2009","(Married) couple without C. ","(2a) intermediate vocational","216","0.252108305282929","0.223500180765342","0.280716429800517"
"Yes","2009","(Married) couple without C. ","(2c_gen) general maturity certificate","15","","",""
"Yes","2009","(Married) couple without C. ","(2c_voc) vocational maturity certificate","55","0.163454071904999","0.117339054040853","0.209569089769146"
"Yes","2009","(Married) couple without C. ","(3a) lower tertiary education","123","0.357334394811211","0.307624376616829","0.407044413005593"
"Yes","2009","(Married) couple without C. ","(3b) higher tertiary education","247","0.377074495908643","0.338099461770915","0.416049530046371"
"Yes","2009","Single parent ","(0) in school","","","",""
"Yes","2009","Single parent ","(1a) inadequately completed","","","",""
"Yes","2009","Single parent ","(1b) general elementary school","9","","",""
"Yes","2009","Single parent ","(1c) basic vocational qualification","11","","",""
"Yes","2009","Single parent ","(2b) intermediate general qualification","3","","",""
"Yes","2009","Single parent ","(2a) intermediate vocational","44","0.225438181864873","0.166176607301874","0.284699756427873"
"Yes","2009","Single parent ","(2c_gen) general maturity certificate","4","","",""
"Yes","2009","Single parent ","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2009","Single parent ","(3a) lower tertiary education","29","","",""
"Yes","2009","Single parent ","(3b) higher tertiary education","30","0.49823534255731","0.380260109169558","0.616210575945062"
"Yes","2009","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2009","Couple + C. LE 16 ","(1a) inadequately completed","3","","",""
"Yes","2009","Couple + C. LE 16 ","(1b) general elementary school","13","","",""
"Yes","2009","Couple + C. LE 16 ","(1c) basic vocational qualification","68","0.142164328120889","0.109422362973924","0.174906293267853"
"Yes","2009","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"Yes","2009","Couple + C. LE 16 ","(2a) intermediate vocational","152","0.19866179918973","0.170163712161036","0.227159886218424"
"Yes","2009","Couple + C. LE 16 ","(2c_gen) general maturity certificate","6","","",""
"Yes","2009","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","67","0.283908293326419","0.230809877039725","0.337006709613112"
"Yes","2009","Couple + C. LE 16 ","(3a) lower tertiary education","74","0.326430653529237","0.264468946328679","0.388392360729795"
"Yes","2009","Couple + C. LE 16 ","(3b) higher tertiary education","126","0.244009938537431","0.200995871772045","0.287024005302818"
"Yes","2009","Couple + C. GT 16 ","(0) in school","1","","",""
"Yes","2009","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"Yes","2009","Couple + C. GT 16 ","(1b) general elementary school","24","","",""
"Yes","2009","Couple + C. GT 16 ","(1c) basic vocational qualification","93","0.180974248527511","0.14598144132318","0.215967055731843"
"Yes","2009","Couple + C. GT 16 ","(2b) intermediate general qualification","15","","",""
"Yes","2009","Couple + C. GT 16 ","(2a) intermediate vocational","144","0.293970863765205","0.257147548677251","0.330794178853159"
