"party","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"AfD","1988","Couple + C. LE 16 ","West Germany","","","","","7"
"AfD","1988","Single parent ","East Germany","","","","","7"
"AfD","1988","(Married) couple without C. ","West Germany","","","","","7"
"AfD","1988","(Married) couple without C. ","East Germany","","","","","7"
"AfD","1988","Single parent ","West Germany","","","","","7"
"AfD","1988","Couple + C. GT 16 ","West Germany","","","","","7"
"AfD","1988","Couple + C. GT 16 ","East Germany","","","","","7"
"AfD","1988","Couple + C. LE and GT 16","West Germany","","","","","7"
"AfD","1988","Couple + C. LE and GT 16","East Germany","","","","","7"
"AfD","1988","Couple + C. LE 16 ","East Germany","","","","","7"
"CDU/CSU","1988","1-pers.-HH","East Germany","","","","","1"
"CDU/CSU","1988","Couple + C. LE and GT 16","East Germany","","","","","1"
"CDU/CSU","1988","1-pers.-HH","West Germany","245","0.414177200672497","0.375372977323491","0.452981424021504","1"
"CDU/CSU","1988","Single parent ","East Germany","","","","","1"
"CDU/CSU","1988","Couple + C. LE 16 ","West Germany","393","0.360399383228542","0.333005503553129","0.387793262903955","1"
"CDU/CSU","1988","Couple + C. LE and GT 16","West Germany","165","0.499288732102537","0.451864127529559","0.546713336675516","1"
"CDU/CSU","1988","Single parent ","West Germany","72","0.332140236857193","0.270871553513705","0.393408920200681","1"
"CDU/CSU","1988","Couple + C. LE 16 ","East Germany","","","","","1"
"CDU/CSU","1988","Couple + C. GT 16 ","West Germany","515","0.494025391625036","0.465254183844876","0.522796599405197","1"
"CDU/CSU","1988","Couple + C. GT 16 ","East Germany","","","","","1"
"CDU/CSU","1988","(Married) couple without C. ","West Germany","540","0.41258688260379","0.386237937632569","0.438935827575011","1"
"CDU/CSU","1988","(Married) couple without C. ","East Germany","","","","","1"
"FDP","1988","Couple + C. GT 16 ","East Germany","","","","","3"
"FDP","1988","Couple + C. LE and GT 16","West Germany","10","","","","3"
"FDP","1988","Couple + C. LE 16 ","East Germany","","","","","3"
"FDP","1988","Single parent ","West Germany","10","","","","3"
"FDP","1988","Couple + C. GT 16 ","West Germany","48","0.0461802092498965","0.0341026212843085","0.0582577972154844","3"
"FDP","1988","Couple + C. LE and GT 16","East Germany","","","","","3"
"FDP","1988","1-pers.-HH","West Germany","34","0.0562534202001246","0.0381022374997067","0.0744046029005424","3"
"FDP","1988","1-pers.-HH","East Germany","","","","","3"
"FDP","1988","(Married) couple without C. ","West Germany","50","0.0393366974072855","0.0289322684272637","0.0497411263873072","3"
"FDP","1988","(Married) couple without C. ","East Germany","","","","","3"
"FDP","1988","Single parent ","East Germany","","","","","3"
"FDP","1988","Couple + C. LE 16 ","West Germany","50","0.0472567679559644","0.0351500330979342","0.0593635028139946","3"
